Extraction_Date,ord_week_nmb,Site_Name,TCIN,Product_ID,,Product_Name,Regular_price,Regular_Price_Range,Shipping,disc_perc,markdown_price,final_price,Product_Description,availability,additional_information,price_promo,Unique_Key
22-07-2013,34,Amazon,14517572,B003HS5JMQ,0,Skip Hop Zoo Pack Little Kid Backpack,19.99,n/a,4.99,0,19.99,19.99,The Zoo Pack is the little kid backpack where fun meets function. Whimsical details and durable materials make this the perfect on-the-go pack for kids on-the-go.,Yes,Free Super Saving Shipping & Free Returns,You Save: $0.01,34 B003HS5JMQ
22-07-2013,34,Amazon,12404372,B003I6O3S8,0,Rockland Luggage Polo Equipment 4 Piece Luggage Set,129.99,n/a,0,0,129.99,129.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $189.01 (59%),34 B003I6O3S8
22-07-2013,34,Amazon,12404055,B003I6OECS,0,Rockland Luggage 19 Inch Tote Bag,20.99,n/a,4.98,0,20.99,20.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $9.01 (30%),34 B003I6OECS
22-07-2013,34,Amazon,12404057,B003I6SB6S,0,Rockland Luggage 19 Inch Tote Bag,25.99,n/a,0,0,25.99,25.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $4.01 (13%),34 B003I6SB6S
22-07-2013,34,Amazon,14508280,B003I6TL94,0,Rockland Luggage 19 Inch Tote Bag,20.99,n/a,4.98,0,20.99,20.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $9.01 (30%),34 B003I6TL94
22-07-2013,34,Amazon,12403912,B003I6VRFA,0,Rockland Luggage 19 Inch Tote Bag,15,n/a,4.98,0,15,15,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $15.00 (50%),34 B003I6VRFA
22-07-2013,34,Amazon,12937456,B003LPQNQG,0,"Sumdex NeoMetro Link Brief for 13"" MacBook",29.04,n/a,0,0,29.04,29.04,n/a,Yes,& FREE Shipping.,You Save: $45.91 (61%),34 B003LPQNQG
22-07-2013,34,Amazon,12937454,B003LQ062M,0,"Sumdex NeoMetro Link Brief for 13"" MacBook",43.03,n/a,0,0,43.03,43.03,n/a,Yes,& FREE Shipping.,You Save: $31.92 (43%),34 B003LQ062M
22-07-2013,34,Amazon,12937450,B003LQ06BI,0,"Sumdex NeoMetro Route Brief for 17"" MacBook Pro",47.53,n/a,0,0,0,47.53,n/a,Yes,n/a,n/a,34 B003LQ06BI
22-07-2013,34,Amazon,12937444,B003LQ1YMS,0,"Sumdex NeoMetro Link Brief for 15"" MacBook Pro",29.04,n/a,0,0,29.04,29.04,n/a,Yes,& FREE Shipping.,You Save: $45.91 (61%),34 B003LQ1YMS
22-07-2013,34,Amazon,14496904,B003MU9JXO,0,Lewis N. Clark Travel Compression Socks,16.3,n/a,4.98,0,16.3,16.3,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $1.69 (9%),34 B003MU9JXO
