kohl_product_id,kohl_product_name,kohl_Product_description,kohl_Regular_price,kohl_Shipping,kohl_markdown_price,kohl_final_price,kohl_additional_info,kohl_price_promo,kohl_Availability,Extraction_Date,TCIN,kohl_disc_perc,week_nmb,amazon_product_id,amazon_product_name,amazon_Product_description,amazon_Regular_price,amazon_Shipping,amazon_markdown_price,amazon_final_price,amazon_additional_info,amazon_price_promo,amazon_Availability,amazon_disc_perc,target_product_id,target_product_name,target_Product_description,target_Regular_price,target_Shipping,target_markdown_price,target_final_price,target_additional_info,target_price_promo,target_Availability,target_disc_perc,kohl_availability_flag,amazon_Availability_flag,target_Availability_flag,kohl_pdt_desc_length,Amz_pdt_desc_length,target_pdt_desc_length,price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_diff_amazon_reg_pr,Price_diff_target_reg_pr,Price_rat_amazon_final_pr,Price_rat_target_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Availability_flag
565916,Leatherbay Mini Backpack,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,129.95,0,116.95,116.95,n/a,n/a,Yes,12-10-2012,11457902,0.100038476,2,B001I3JIQA,Leatherbay Leather Mini Backpack,n/a,94.83,0,94.83,94.83,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $50.12 (35%),Yes,0,11457902,Leatherbay Leather Mini Backpack - Black,Leatherbay Leather Mini Backpack - Black,144.95,0,0,144.95,n/a,n/a,Yes,0,1,1,1,169,3,40,22.12,-28,35.12,-15,1.233259517,0.806829941,1.370346937,0.89651604,1
1054896,Leatherbay Shopping Tote,On the go? This shopping tote is ideal for everyday use. Shop Kohls.com for other Leatherbay shopping totes to find your favorite color.,135.95,0,122.35,122.35,n/a,n/a,Yes,12-10-2012,11457967,0.100036778,2,B001PE3HKK,Leatherbay Shopping Leather Tote,n/a,98.93,0,98.93,98.93,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $51.02 (34%),Yes,0,13220881,Luigi Bormioli Porcelain & Slate 7-pc. Condiment Set,Unique and fun combination of slate and porcelain. Great for entertaining! Set includes 3 condiment bowls with 3 spoons. The bowls sit on a beautiful slate serving tray. Porcelain bowls are dishwasher safe.,54.59,0,0,54.59,n/a,n/a,Yes,0,1,1,1,136,3,206,23.42,67.76,37.02,81.36,1.236733044,2.241252977,1.374203983,2.490382854,1
1194325,McKlein Verona 15.4-in. Laptop Briefcase,A work bag that works. This women's McKlein Verona briefcase will keep your things together. Shop our full selection of luggage at Kohls.com.,189.99,0,170.99,170.99,n/a,n/a,Yes,12-10-2012,13618420,0.100005263,2,B004YF9BX4,McKlein USA Verona - Ladies' Fly-Through Checkpoint-Friendly Laptop Briefcase,n/a,108.43,0,0,108.43,n/a,n/a,Yes,0,13618420,McKlein Ladies Leather Checkpoint-Friendly Case - Red,"This red leather checkpoint-friendly case by McKlein is the perfect accessory for air travelers. The adjustable strap makes sure the bag stays comfortable while carried, and the zip closure keeps your accessories tucked safely inside.",144,0,0,144,n/a,n/a,Yes,0,1,1,1,141,3,234,62.56,26.99,81.56,45.99,1.576962095,1.187430556,1.752190353,1.319375,1
1130083,Wildkin Sidekick Backpack - Kids,"This Wildkin backpack is the perfect sidekick for school. With interior pockets, a pencil holder and two zippered compartments, this kids' backpack is a studying necessity.",34.99,0,0,34.99,n/a,n/a,Yes,12-10-2012,14107189,0,2,B0065QXOQU,Wildkin Fern Green Sidekick Backpack,n/a,20.99,5.52,20.99,20.99,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $9.00 (30%),Yes,0,14107189,Wildkin Sidekick Backpack - Blue,Wildkin Sidekick Backpack - Blue,20.99,0,0,20.99,n/a,n/a,Yes,0,1,1,1,172,3,32,14,14,14,14,1.666984278,1.666984278,1.666984278,1.666984278,1
1130229,Wildkin Owl Macropack Backpack - Kids,"This Wildkin backpack is a wise choice. With a spacious design, interior pockets and a mesh enclosure, this owl backpack keeps your little one's essentials organized. Whether going on a family trip or walking to school, this sweet backpack ensures your child will have a hoot. In pink/white/multi.",42.99,0,0,42.99,n/a,n/a,Yes,12-10-2012,14107192,0,2,B007W4MNHK,Wildkin Owls Macropak Backpack,n/a,34.45,0,34.45,34.45,& this item ships for FREE with Super Saver Shipping.,You Save: $5.54 (14%),Yes,0,14107192,Wildkin Owls Macropak Backpack - Pink,Wildkin Owls Macropak Backpack - Pink,35.29,0,0,35.29,n/a,n/a,Yes,0,1,1,1,297,3,37,8.54,7.7,8.54,7.7,1.247895501,1.218192122,1.247895501,1.218192122,1
1130231,Wildkin Leopard Macropack Backpack - Kids,"An exotic find from Wildkin. With a spacious design, interior pockets and a mesh enclosure, this leopard backpack keeps your little one's essentials organized. Whether going on a family trip or walking to school, this eye-catching backpack is a must-have. In pink/black.",42.99,0,0,42.99,n/a,n/a,Yes,12-10-2012,14107197,0,2,B007W4MP3M,Wildkin Pink Leopard Macropak Backpack,n/a,27.99,0,27.99,27.99,& this item ships for FREE with Super Saver Shipping.,You Save: $12.00 (30%),Yes,0,14107197,Wildkin Leopard Macropak Backpack - Pink,Wildkin Leopard Macropak Backpack - Pink,27.99,0,0,27.99,n/a,n/a,Yes,0,1,1,1,270,3,40,15,15,15,15,1.535905681,1.535905681,1.535905681,1.535905681,1
1130256,Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack - Kids,Take snacks on the go. This kids' Wildkin backpack doubles as a lunch bag with an insulated food-safe compartment. Enhance your little one's everyday routine with this playful animal backpack. In green/multi.,25.99,0,0,25.99,n/a,n/a,Yes,12-10-2012,14107198,0,2,B007W4MN02,Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack,n/a,23.48,5.47,23.48,23.48,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $2.51 (10%),Yes,0,14107198,Wildkin Olive Kids Wild Animals Backpack - Green,Wildkin Olive Kids Wild Animals Backpack - Green,23.79,0,0,23.79,n/a,n/a,Yes,0,1,1,1,208,3,48,2.51,2.2,2.51,2.2,1.106899489,1.09247583,1.106899489,1.09247583,1
1130492,Wildkin Serious Backpack - Kids,"This kids' Wildkin backpack seriously does it all. Your little one can stow a 15-in. laptop in the padded compartment, strap a lunch bag to the front with the carabiner and listen to an MP3 player using the media pocket and headphones port.",67.99,0,0,67.99,n/a,n/a,Yes,12-10-2012,14107200,0,2,B007WU5KFG,Wildkin Whale Blue Serious Backpack,n/a,36.94,0,36.94,36.94,& this item ships for FREE with Super Saver Shipping.,You Save: $23.05 (38%),Yes,0,14107200,Wildkin Serious Backpack - Whale Blue,Wildkin Serious Backpack - Whale Blue,37.79,0,0,37.79,n/a,n/a,Yes,0,1,1,1,240,3,37,31.05,30.2,31.05,30.2,1.840552247,1.799153215,1.840552247,1.799153215,1
1130488,Wildkin Leopard Serious Backpack - Kids,"This exotic Wildkin backpack seriously does it all. She can stow a 15-in. laptop in the padded compartment, strap her lunch bag to the front with the carabiner and listen to her MP3 player using the media pocket and headphones port. Complete with an exciting leopard print, this girls' backpack is a fun school essential. In pink/black.",67.99,0,0,67.99,n/a,n/a,Yes,12-10-2012,14107212,0,2,B007WU58DK,Wildkin Pink Leopard Serious Backpack,n/a,44.43,0,44.43,44.43,& this item ships for FREE with Super Saver Shipping.,You Save: $15.56 (26%),Yes,0,14107212,Wildkin Leopard Serious Backpack - Pink,Wildkin Leopard Serious Backpack - Pink,41.99,0,0,41.99,n/a,n/a,Yes,0,1,1,1,336,3,39,23.56,26,23.56,26,1.530272339,1.619195046,1.530272339,1.619195046,1
1130487,Wildkin Camo Serious Backpack - Kids,"This cool Wildkin backpack seriously does it all. He can stow a 15-in. laptop in the padded compartment, strap his lunch bag to the front with the carabiner and listen to his MP3 player using the media pocket and headphones port. Complete with a colorful camo print, this backpack is a fun school essential. In blue/white/black.",67.99,0,0,67.99,n/a,n/a,Yes,12-10-2012,14107219,0,2,B007WU48MC,Wildkin Blue Camo Serious Backpack,n/a,44.43,0,44.43,44.43,& this item ships for FREE with Super Saver Shipping.,You Save: $15.56 (26%),Yes,0,14107219,Wildkin Camo Serious Backpack - Blue,Wildkin Camo Serious Backpack - Blue,45.49,0,0,45.49,n/a,n/a,Yes,0,1,1,1,328,3,36,23.56,22.5,23.56,22.5,1.530272339,1.494614201,1.530272339,1.494614201,1
