"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63"
"Price_rat_target_reg_pr",0.0913478324071365,-0.122960343047135,0.0401567601618425,0.146977788561937,-0.114362919378863,-0.146732124873336,0.253147158498626,-0.337463775786774,-0.0966144725329077,-0.0656823854375364,-0.0796101024074464,0.120068195541146,-0.0338300418797801,0.226015520930375,0.103973416012766,0.0213118774953381,-0.09799074787399,0.160841297372909,0.00833417680052537,-0.021395943859156,0.065516756729832,-0.0424442424418383,-0.128691597172583,0.239984382357017,0.103804619635187,-0.108766261097342,-0.115115150753583,-0.0206384622605498,-0.0375898132447203,0.0978734119626055,-0.193367651902478,-0.0839686881574941,0.115029122812323,0.0781703208651569,0.0869863818825842,-0.0512287898336728,0.0609164175691241,-0.0296312817899407,0.362198571245701,0.25571643574485,0.133719882914183,0.00467439330172228,-0.0250796710968695,0.420532411273097,-0.0628115789809847,-0.0696831053716343,-0.00254663601500285,-3.13291059761411e-15,1.65145674912992e-15,-2.88831458750138e-16,2.42861286636753e-17,-3.06178693509906e-16,-2.4459601011273e-16,6.66133814775094e-16,-1.82145964977565e-17,2.2360585605341e-15,9.0205620750794e-16,-6.93889390390723e-17,-9.90527104782757e-16,3.81639164714898e-16,-3.2612801348364e-16,-1.17093834628434e-16,-6.48786580015326e-16
"TCIN_var",0.0352386132464261,-0.113101600154936,0.0413367195307319,-0.0607020197197169,0.127460160627584,0.268833562614696,0.077151957698403,-0.149783042672312,-0.137812939323136,0.189244508860264,0.0957064136205768,0.0959207592596475,0.267853845284798,0.450028738053665,-0.104221452733012,0.120813947210761,-0.153901169179708,-0.412765309043356,-0.0757300475014883,-0.26911850661524,-0.295111168576329,0.157806561705489,0.0819222717613702,-0.225203125164666,0.164146427446679,0.00377194474590031,-0.073745807752141,-0.0188117756313677,0.0689666430506357,0.0936343693326033,0.0156237433212343,0.0177004611885599,-0.0290008925359939,-0.00366963774687873,0.00225039739775258,-0.00706987169271948,-0.010727160003413,-0.0286289875962108,-0.0131120909847793,0.0131220901284949,-0.00488811908346525,0.00226117081123578,-0.00622635991220405,-0.00371236103809283,-0.00271223493063879,-0.00396493365351824,-0.00227347196682647,-7.28583859910259e-16,4.14598910758457e-16,-6.85215773010839e-16,0,7.50267903359969e-17,4.04190569902596e-16,-1.42247325030098e-16,-2.31585584042904e-16,5.20417042793042e-18,6.0281640790194e-17,-1.82145964977565e-17,-1.38777878078145e-16,-1.73472347597681e-17,-5.35595873207839e-17,-1.95156391047391e-16,-1.73472347597681e-17
"max_tcin_price",0.17522765901559,-0.158629067672155,0.084848071677023,-0.0421208668774684,-0.08681351959382,0.0488226839759331,-0.0660429986324336,0.0333245248580315,0.0212689094237451,-0.014011172262638,0.0341103560220367,-0.0877137745982013,0.0470219975778453,-0.0240803972940841,-0.00459173917036459,0.0071463190669947,0.0491830723215973,-0.00125075796808255,0.0189760277395516,-0.00079222027807313,0.00119032498089371,-0.0666130496442399,0.0675106232124604,0.0255596444173652,-0.028715050812045,0.0497601848554551,0.0270594958305338,0.00836813738276201,-0.0568810092830374,0.165015579085678,0.00121878449051152,-0.0371874298021747,-0.0164808445905757,-0.0276382821245894,-0.00305595678696479,0.016445409182523,0.015479305818419,-0.000811737283965275,0.041134872901863,0.0214720519838582,0.00942322100273233,-0.00332606696138496,-0.00896154489099494,-0.0393406946274595,-0.0400109509647067,-0.0800284222742657,-0.00164738309767881,-0.0788493730070755,0.0553044945659679,0.234991653185907,0.0128410301554603,-0.0313194741734517,0.180145670554376,-0.121262808311777,0.0246539728806055,-0.215173474441793,0.1509908578993,-0.0898666831987777,-0.518010212408076,-0.247758327885944,-0.552325518797376,0.0805952959659322,0.117087309371662
"min_tcin_price",0.17522765901559,-0.158629067672155,0.084848071677023,-0.0421208668774684,-0.08681351959382,0.0488226839759331,-0.0660429986324336,0.0333245248580315,0.0212689094237451,-0.014011172262638,0.0341103560220367,-0.0877137745982013,0.0470219975778453,-0.024080397294084,-0.00459173917036451,0.00714631906699503,0.0491830723215973,-0.00125075796808231,0.0189760277395515,-0.000792220278073186,0.00119032498089369,-0.0666130496442398,0.0675106232124604,0.0255596444173651,-0.028715050812045,0.0497601848554551,0.0270594958305336,0.00836813738276193,-0.0568810092830376,0.165015579085678,0.0012187844905116,-0.0371874298021748,-0.0164808445905757,-0.0276382821245894,-0.00305595678696494,0.0164454091825232,0.0154793058184188,-0.000811737283965348,0.0411348729018631,0.0214720519838579,0.00942322100273207,-0.00332606696138499,-0.00896154489099459,-0.0393406946274608,-0.0400109509647056,-0.0800284222742659,-0.00164738309767916,-0.0821927838268612,0.100639470339789,0.250589279488788,0.0138719851518321,-0.0282424789482975,0.224930150216341,-0.0970653958394715,0.0667563206581819,0.254527349283308,0.138488533249382,-0.209639225253998,0.438930965660413,0.578687149210226,-0.194235675312532,-0.0767888875350917,0.036783655002315
"gross_sales",-0.0439946463823131,0.0486368637042351,-0.00409638723664165,0.0276270369600106,0.01886273384659,0.537712861340903,-0.0319586849775305,-0.157265953849593,-0.25176931887009,-0.151177165115719,0.127101552092807,0.0131240244501449,-0.145008948994578,-0.0863693009687935,0.0969541749096755,-0.0579239684261592,0.0469116585679485,0.13007539497458,-0.00390132497243581,0.0855249304794994,-0.00111174571289752,-0.0513431083465869,-0.0126082401000764,-0.0126308726825353,0.00302884751456468,0.0138422659921789,-0.0420682577573843,0.0113240902917104,0.0501260853446188,0.00349243230975202,0.000219078736291012,0.00692730738176456,0.000580170177669537,0.0161364723286745,0.00807862496578998,-0.00311403666718019,-0.00336477809080965,-0.00474590773523929,0.00923637267612706,0.00253201611231198,0.00612797712972882,0.00565157829683764,0.00938276558126997,0.00203686511618148,0.0379345914965071,-0.0347255416208694,0.706057200836897,-9.28077059647592e-16,3.72119869640475e-15,1.2038980923279e-15,1.06858966120171e-15,-1.20753016960573e-15,-2.91260071616506e-15,-1.17592567627778e-15,-1.07097490598118e-15,-3.28556626350007e-15,1.84216791127012e-15,-1.27784068049142e-15,2.00013616780126e-15,-3.10515502199848e-16,-6.86950496486816e-16,2.87638836360404e-16,-1.10008573431242e-15
"net_Sales",-0.0442486894775622,0.0480421806104317,-0.00399325146936294,0.0275044909933747,0.0185167200546831,0.537433576878405,-0.0316879416562078,-0.158425516545613,-0.251627624733937,-0.150462243480372,0.126681498023003,0.011272539604964,-0.145631893105409,-0.0847491171204396,0.0973152379663389,-0.06019677657645,0.0476736501488045,0.132656830412908,-0.00541717728918374,0.08870828897091,0.00336396914938897,-0.0531846272346585,-0.0140816058718684,-0.0117520684103633,0.00346472990635005,0.0121127193670367,-0.0423890652852234,0.0130231598703856,0.0560375769527754,0.00835875171043979,0.00445393952881643,0.0100770395301842,0.00214875583396454,0.0240472097789146,0.0148144917248306,-0.00843723952750303,0.0182628313083076,0.0173883692798332,0.000552082012723717,0.00598133168003211,-0.00785913807706808,-0.000260318335247825,0.00371873121725187,-0.00486029443768921,-0.0385737780647788,0.0361092163926696,-0.703723534664252,6.6266436782314e-16,-3.59911753178288e-15,-1.28109328700887e-15,-1.20042864537595e-15,1.24683249835833e-15,2.86619686318268e-15,1.19348975147204e-15,1.05818132034585e-15,3.36362881991903e-15,-2.04870842512861e-15,1.01828268039839e-15,-1.93942084614207e-15,2.28983498828939e-16,8.14452671971111e-16,-3.05311331771918e-16,9.26342336171615e-16
"Amz_rating1",-0.184455924701083,-0.127003367367596,0.0627092041893063,-0.0785329384904575,0.0291914027223574,0.0286675548459426,-0.00371947975019104,-0.0371149229031045,0.115547841065787,0.00944698481588422,0.071651315440248,-0.0904607971747902,0.0378689838706186,0.0299832402860475,0.0690694665773089,0.0750339697313911,0.16995015387589,-0.0212825788647979,0.0206716471010726,-0.0339421787528437,0.0346791323483277,0.0321540236276576,-0.140973206123453,-0.0253229789625214,0.0108124419140129,0.115435241902945,-0.00573266386762036,-0.0300221066008832,-0.179406231987298,-0.11043156304821,-0.0273908079997682,0.0727470853200476,0.0434406665447666,0.129929251777834,0.248856391826516,-0.0678752529379752,0.390566444779495,0.13507604192918,-0.139405854359809,0.345974192366238,-0.206361922026427,0.121919696948627,0.185603471343264,-0.0608395866825268,0.00565373932983468,-0.0162274387314454,0.0110771620770482,0.124216734166338,-0.133780716677504,-0.18117010225661,-0.0383027601525791,0.0917781478295167,0.154222052250152,-0.11624741846332,-0.215460022219999,0.0616111701769618,0.107240778871141,0.105075426563161,0.0685203305139384,-0.0697635693100527,-0.153542988029586,-0.22627434743737,-0.130552011166696
"Amz_rating2",-0.178903281435796,-0.1434500612965,0.0459802425212967,-0.0571708989689485,0.00384863398887878,0.0125332141296365,0.00615774599690774,-0.0337726113148498,0.0382437248809882,-0.0756955093501009,0.0955942122631481,-0.0769283326426586,0.0568385869339626,-0.0104968649585932,0.00771652564211482,0.161751130994366,0.088707655312636,0.00513104437546269,-0.139806394737024,-0.0249223282933349,0.0230223999576832,0.0487906768765962,-0.172787225785649,0.14952084086257,0.0575881889087841,-0.0663814336261522,0.166653393063719,-0.188072253399862,-0.106105684470618,0.149526666853506,0.118610717396568,0.432665015344265,0.0623738412615734,0.342087735402213,-0.112433687302569,0.0311147277559026,-0.238004332889337,-0.0527884864692483,0.140458732420272,-0.397849145271332,0.199510492421436,-0.056292120107665,-0.0749246656618517,0.0405171738608136,-0.021211549473998,0.0219325158955787,-0.00283984993928764,0.0642019993492947,-0.0691451883896404,-0.0936386137121826,-0.0197969605214318,0.0474359644598273,0.0797103881748506,-0.0600830212984445,-0.111361519035299,0.0318440211309526,0.0554278975494817,0.0543087250933626,0.0354150529282025,-0.0360576267079337,-0.0793594106601113,-0.116950953544494,-0.0674764168630418
"Amz_rating3",-0.174424493299819,-0.149124639940164,0.0552693673904409,-0.089089409290311,0.0311615399555279,0.0342245562519867,0.0022161582710669,0.00722009727205808,0.0870270006994003,0.0595991996765022,0.0841944379207389,0.0275635130519644,-0.0183000263614045,0.0770312452479863,0.0154973287560381,-0.0563536034701394,0.124615815796456,0.0547726688813825,0.16517764994982,0.0707400957086547,-0.146595067859433,0.0520528056794735,-0.0687381897188538,0.0709313546352095,0.0128031626476597,0.197985885801593,-0.123114156359921,-0.0607000097809615,-0.160490399301001,-0.137186188063096,-0.219758440633493,-0.110043798591343,-0.0127463798841332,-0.145797906968932,-0.253870530493688,-0.101370164598179,0.0977868319256328,0.187019463237048,-0.0731925763472014,-0.0916945816497679,0.116763196138639,0.0621213162765582,-0.659542618111164,0.0477201557734148,0.186440736551098,-0.0659629495028375,-0.0117833978979797,-0.00601382433998316,-0.0218754764217551,-0.0223822917567122,0.00185438840297956,0.0230324915578166,0.0216590558402548,0.0144990551866618,-0.0294307918238503,0.0400097726347935,-0.0320200392196831,-0.0472530443145085,-0.020118480090376,-0.0019731349530114,-0.000357043762560618,0.00360486162481685,0.0262534894202163
"Amz_rating4",-0.15418338770809,-0.204415093477318,0.0187428862829667,-0.0739900132048588,0.0237447426845396,-0.0263736597456523,-0.00796646651171506,0.0433945605472797,-0.0285028170498455,0.0133471204202251,0.00791610694908798,0.105123801778428,-0.0484407687899109,-0.0416779967978282,0.014656696175509,0.0283804563249608,-0.0272284289667483,-0.041198800304177,0.0145917528019311,0.0247081005404234,-0.0992614238150634,-0.14565367796971,-0.0562820136348454,0.00654273116129828,-0.0655379298477846,-0.0713836725813942,-0.0530992834534772,0.0660840042888557,0.0531314007741412,-0.0456407854595976,-0.065818757977726,-0.160226815350112,-0.0314121103007235,-0.0319792996773126,-0.0133303973910037,0.0234746483292614,-0.154763458696418,0.0334444270065665,0.0866543207479055,-0.0891650654889851,0.15499824304427,0.728556980656731,0.137238665756506,-0.104228701003596,-0.321061507401356,0.141586948087121,0.0163712336702465,0.0205280080266887,0.00925474019531168,0.0141838351316618,-0.00632989889110772,-0.0559801319807818,-0.106661816028769,-0.00651957271799584,-0.121683240544652,0.0820240044671119,-0.0820338210697582,-0.125335916481932,-0.00901810686378947,-0.0338648620150839,-0.0444536081133617,-0.0659377729452509,0.0341424204908623
"Amz_rating5",-0.177203586397514,-0.174476295342991,-0.019154842914321,-0.0362253653255941,-0.00227445950922063,-0.0352588251504836,-0.0154897932569188,0.0174466262074299,-0.017221350364677,0.0491181107412267,0.00745182271247065,0.0207264796955515,-0.0547501487008261,-0.0627588338198176,0.0280429373910446,0.0129898858185616,0.00431394052826327,-0.0043362241053323,-0.0578932636542626,-0.02842949092825,-0.102073633163669,-0.145305244608246,-0.0625464933364457,-0.00885511537698869,-0.0570617926736153,-0.0609766787812387,-0.00591646624633713,0.0211437610773778,0.124194469227634,0.0407925392412568,-0.00522482174415501,-0.0636345446800249,-0.145781150011207,0.0208295163850214,-0.0181832180329135,0.011863160739932,0.0359712018358413,-0.125668931835534,-0.0729472552893957,0.110445571243816,-0.105406396531199,-0.49586535352636,-0.110189687286357,0.0426528058200907,-0.292507768839952,0.143967049931722,0.026123839449409,0.0510547042948353,0.0230172369078806,0.0352762677933566,-0.0157429359771038,-0.13922681055798,-0.265275981469747,-0.0162146690907972,-0.302635397237144,0.203999885800023,-0.204024300431222,-0.31171987779757,-0.0224287119642298,-0.0842244661010234,-0.110559476307463,-0.163992214695299,0.0849147749652305
"Amz_Review_count",-0.177060594202187,-0.177309823556164,0.00716509399135513,-0.0560430384003955,0.0101789422626212,-0.0188182809674517,-0.0102540264560055,0.0153450612818434,0.00540411962231236,0.0340915441778722,0.0257805517438035,0.0263910060858884,-0.0373502734974891,-0.0340222091249543,0.027178012118954,0.0219244686602919,0.0289567726600784,-0.00753420485983405,-0.0161596443534444,-0.00703203779189225,-0.0906838268587404,-0.103179538044243,-0.0756067115999997,0.00873440021437414,-0.0415784290153175,-0.0217589581933165,-0.0210683150457124,0.00875110407702096,0.0431689093079104,-0.00502017533370474,-0.0379884647412369,-0.0565363508238921,-0.0830229965638068,0.0165797515409683,-0.0229435054658844,-0.00353102832301862,0.019806164204922,-0.0331148291932673,-0.0350722869838684,0.0445599191623438,-0.0209577694659892,-0.0983928032026817,-0.0875555153741733,0.00189277306218089,-0.216163356278004,0.104765637030889,0.0178818880594309,0.056620440120413,0.205958643422356,0.21073033373169,-0.0174591543741715,-0.216851995560082,-0.203921033428639,-0.136509289195681,0.27709229467835,-0.376693898529397,0.301470181168644,0.444889643405179,0.189416440000943,0.0185771587496696,0.00336158388332266,-0.0339399424112231,-0.24717784252295
