week_nmb,Unique_Pdt_Identifier_Mainpdt,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating
25,B00061NL9K,0,0,0,0,1,1,5
34,B00061NL9K,0,0,0,0,1,1,5
35,B00061NL9K,0,0,0,0,2,2,5
36,B00061NL9K,0,0,0,0,1,1,5
38,B00061NL9K,1,0,0,0,1,2,3
39,B00061NL9K,0,0,0,0,1,1,5
43,B00061NL9K,0,0,0,0,1,1,5
44,B00061NL9K,0,0,0,1,0,1,4
51,B00061NL9K,0,0,0,1,0,1,4
52,B00061NL9K,0,0,0,0,1,1,5
-248,B00061NLA4,0,0,1,0,0,1,3
-213,B00061NLA4,1,0,0,0,0,1,1
-34,B00061NLA4,0,0,0,1,0,1,4
0,B00061NLA4,0,0,0,1,0,1,4
37,B00061NLA4,0,0,0,0,1,1,5
42,B00061NLA4,0,0,1,0,0,1,3
43,B00061NLA4,0,0,0,0,1,1,5
49,B00061NLA4,0,0,1,0,0,1,3
-268,B00061NLCW,0,0,1,0,0,1,3
-254,B00061NLCW,0,0,0,1,0,1,4
-250,B00061NLCW,0,0,0,0,1,1,5
-248,B00061NLCW,1,0,0,0,0,1,1
-247,B00061NLCW,0,0,0,0,1,1,5
-246,B00061NLCW,1,0,0,0,0,1,1
-242,B00061NLCW,0,0,0,0,1,1,5
-237,B00061NLCW,0,0,0,0,1,1,5
-226,B00061NLCW,0,0,0,0,1,1,5
-222,B00061NLCW,0,0,0,0,1,1,5
-218,B00061NLCW,0,1,0,0,0,1,2
-210,B00061NLCW,0,0,0,1,0,1,4
-206,B00061NLCW,0,0,0,0,1,1,5
-203,B00061NLCW,1,0,0,0,0,1,1
-201,B00061NLCW,0,0,0,0,1,1,5
-189,B00061NLCW,0,1,0,0,0,1,2
-187,B00061NLCW,0,0,0,0,1,1,5
-180,B00061NLCW,0,0,0,0,1,1,5
-177,B00061NLCW,0,0,0,0,1,1,5
-171,B00061NLCW,0,0,0,1,0,1,4
-169,B00061NLCW,0,0,2,0,0,2,3
-163,B00061NLCW,0,0,0,1,0,1,4
-154,B00061NLCW,0,0,0,0,1,1,5
-151,B00061NLCW,0,0,0,1,0,1,4
-146,B00061NLCW,0,0,0,1,1,2,4.5
-140,B00061NLCW,0,0,0,0,1,1,5
-114,B00061NLCW,1,0,0,0,0,1,1
-110,B00061NLCW,0,0,0,0,2,2,5
-104,B00061NLCW,0,0,0,1,0,1,4
-102,B00061NLCW,1,0,0,0,0,1,1
-99,B00061NLCW,0,0,0,0,1,1,5
