"","week_nmb","kohl_product_id","net_Sales","amazon_Shipping","kohl_final_price","kohl_Shipping","Target_Shipping","TCIN_var","kohl_pdt_desc_length","Availability","Price_diff_amazon_final_pr","Price_diff_target_final_pr","Price_rat_amazon_final_pr","Price_rat_amazon_reg_pr","Price_rat_target_reg_pr","Recency_week","Amz_No_of_images","Amz_Not_User_Gen_images","Amz_pdt_desc_length","Amz_rating5","Amz_Review_count","Amz_Total_negative_sent_score","Amz_Total_Positive_sent_score","Amz_User_Generated_images","kohls_Number_of_images","Neg_tot_wt_score","pos_avg_wt_score","reviews_1_M","reviews_3_M","reviews_6_M","Target_pdt_desc_length","Total_sentiment_score"
"117",16,"565916",0,0,129.95,0,0,1,169,1,36.77,-15,1.3946125778064,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"118",16,"1309398",1,0,71.99,0,0,1,194,1,36.9,32,2.05158164719293,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"119",16,"1309403",2,0,71.99,0,0,2,183,1,32,32,1.8002000500125,2.00025006251563,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"120",16,"1309407",3,0,71.99,0,0,2,183,1,36.9,32,2.05158164719293,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"121",17,"1194325",0,0,284.99,0,0,1,141,1,158.2,140.99,2.24773247101506,2.36603833109867,2.08326388888889,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,150,NA
"122",17,"1305860",0,0,71.99,0,0,1,150,1,32.37,32,1.81701161029783,2.01892983341747,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,150,NA
"123",17,"1305865",0,0,71.99,0,0,1,150,1,33.27,32,1.8592458677686,2.06585743801653,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,149,NA
"124",17,"1309407",0,0,71.99,0,0,2,150,1,36.9,32,2.05158164719293,2.27956682815617,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,150,NA
"125",17,"1309422",0,0,71.99,0,0,2,150,1,35.23,32,1.95837867247008,2.17600652883569,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,149,NA
"126",17,"565916",0,0,129.95,0,0,1,150,1,36.77,-15,1.3946125778064,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"127",17,"707522",0,0,59.99,0,0,1,150,1,22.4,22.4,1.59590316573557,1.59590316573557,1.59590316573557,43,3,3,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,3,NA
