Extraction_Date,ord_week_nmb,Site_Name,TCIN,amazon_product_ID,amazon_product_name,amazon_Regular_price,Regular_Price_Range,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo
03-12-2012,1,Amazon,11163935,B001S3X6K4,Sumdex Netbook Case for up to 10-Inch Screen Size (Black ),25.15,n/a,0,0,25.15,25.15,"Netbook computer brief designed for up to 10"" netbooks. Zippered outside organizer pocket for personal and netbook accessories. Top grip handle, and adjustable shoulder strap for easy carry. Made of water repellent polyester fabric.",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $14.80 (37%)
03-12-2012,1,Amazon,11177113,B001U9BKEA,ful Unisex Adult Load Runner 30-Inch Drop Bottom Wheeled Duffel,79.53,n/a,0,0,79.53,79.53,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $40.46 (34%)
03-12-2012,1,Amazon,11209475,B001FWXFP4,Taylor 8120 Digital Luggage Scale,14.99,n/a,4.98,0,14.99,14.99,n/a,Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $5.00 (25%)
03-12-2012,1,Amazon,11217768,B00004Z6UN,Sumdex DigiPod Neoprene Computer Sleeve - 17,31.63,n/a,0,0,31.63,31.63,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $23.32 (42%)
03-12-2012,1,Amazon,11217770,B000R0TNZ6,Sumdex Professional Camera / Camcorder Case,32.69,n/a,0,0,32.69,32.69,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $37.26 (53%)
03-12-2012,1,Amazon,11261174,B002B4K5SK,Rockland Luggage Rolling 22 Inch Duffle Bag,25.59,n/a,0,0,25.59,25.59,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $43.41 (63%)
03-12-2012,1,Amazon,11261176,B002B4RNPI,Rockland Luggage Rolling 22 Inch Duffle Bag,25.59,n/a,0,0,0,25.59,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,11261184,B002B4MBUK,Rockland Luggage Rolling 22 Inch Duffle Bag,27.37,n/a,0,0,27.37,27.37,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $41.63 (60%)
03-12-2012,1,Amazon,11261186,B003XIL34S,Rockland Luggage Luca Vergani 2 Piece Cosmetic Set,29,n/a,0,0,29,29,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $46.00 (61%)
03-12-2012,1,Amazon,11261188,B002B4IQ54,Rockland Luggage 4 Piece Luggage Set,99,n/a,0,0,99,99,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $140.99 (59%)
03-12-2012,1,Amazon,11261189,B002B4RO8O,Rockland Luggage 19 Inch Tote Bag,16,n/a,4.98,0,16,16,n/a,Yes,& eligible for FREE Super Saver Shipping and Free Returns.,You Save: $14.00 (47%)
03-12-2012,1,Amazon,11261192,B002B4IQBS,Rockland Luggage 4 Piece Luggage Set,90.99,n/a,0,0,90.99,90.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $149.00 (62%)
03-12-2012,1,Amazon,11261194,B002B4IQEK,Rockland Luggage Luca Vergani 2 Piece Cosmetic Set,29,n/a,0,0,29,29,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $46.00 (61%)
03-12-2012,1,Amazon,11261195,B002B4O70W,Rockland Luggage 4 Piece Luggage Set,89.24,n/a,0,0,89.24,89.24,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $150.75 (63%)
03-12-2012,1,Amazon,11262103,B001DIZFT4,Siamod Manarola Collection Amore Duffel Bag,176.43,n/a,0,0,0,176.43,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,11262181,B001DIZG84,Siamod Vernazza Collection Carugetto Wheeled Laptop Case,219.78,n/a,0,0,0,219.78,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,11262182,B001DJ39CI,McKlein Siamod Serra Leather Ladies Laptop Tote,220,n/a,0,0,0,220,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,11262189,B001DJ39FU,Siamod Vernazza Collection Carugetto Wheeled Laptop Case,219.78,n/a,0,0,0,219.78,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,11262201,B001DJ1M68,Siamod 45526 Como Napa Cashmere Leather Medium Laptop Brief (Cherry Red),116.18,n/a,0,0,116.18,116.18,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $183.81 (61%)
03-12-2012,1,Amazon,11262207,B0028R33WU,McKleinUSA WEST TOWN 15705 Black Fly-Through Checkpoint-Friendly 17 Detachable-Wheeled Laptop Case,194.91,n/a,0,0,194.91,194.91,"Checkpoint-Friendly 17-Inch Laptop Case, Detachable, Wheeled",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $270.09 (58%)
03-12-2012,1,Amazon,11262212,B001DIXV9A,Siamod Vernazza Collection Pastenello Vertical Wheeled Laptop Case,203.52,n/a,0,0,203.52,203.52,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $336.48 (62%)
