net_Sales,amazon_Shipping,kohl_final_price,kohl_Shipping,Target_Shipping,TCIN_var,kohl_pdt_desc_length,Availability,Price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_rat_amazon_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Recency_week,Amz_No_of_images,Amz_Not_User_Gen_images,Amz_pdt_desc_length,Amz_rating5,Amz_Review_count,Amz_Total_negative_sent_score,Amz_Total_Positive_sent_score,Amz_User_Generated_images,kohls_Number_of_images,Neg_tot_wt_score,pos_avg_wt_score,reviews_1_M,reviews_3_M,reviews_6_M,Target_pdt_desc_length,Total_sentiment_score
0.693147181,0,3.380994674,0,0,0,3.80666249,0.693147181,5.537294896,4.45423101,0.66683197,0.888887109,0.941382607,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0,NA,NA,NA,NA,NA,5.905361848,NA
0.693147181,0,3.723280881,0,0,0,3.295836866,0.693147181,5.55806282,4.477223172,0.699984682,0.932880825,0.899149023,2.833213344,2.63905733,2.63905733,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.01615716,NA
0.693147181,NA,3.958906591,0,0,0,3.663561646,0.693147181,NA,4.543188394,NA,NA,0.88483104,2.833213344,NA,NA,2,NA,NA,NA,NA,NA,0.693147181,NA,NA,NA,NA,NA,5.905361848,NA
0.693147181,0,3.958906591,0,0,0,3.295836866,0.693147181,5.583496309,4.543188394,0.753904165,0.924000115,0.88483104,2.833213344,1.791759469,1.791759469,3,0,1.945910149,4.532599493,0,0,0,1.791759469,0,0,0,0.693147181,5.905361848,0
0.693147181,1.788420568,2.433613355,0,0,0,3.63758616,0.693147181,5.517493056,4.39432569,0.693835226,0.639584867,0.705298077,2.833213344,3.713572067,3.713572067,3,4.59511985,5.129898715,4.262679877,6.06610809,0,0,1.791759469,0,2.564949357,3.33220451,4.304065093,5.673323267,6.013715156
0.693147181,0,4.599152114,0,0,0,4.043051268,0.693147181,5.663793466,4.75350398,0.801867177,0.912226837,0.90372033,2.833213344,3.091042453,2.890371758,3,4.454347296,4.844187086,4.510859507,6.08221891,1.609437912,0,1.791759469,0,2.48490665,3.401197382,3.951243719,6.265301213,6.077642243
0.693147181,0,4.878246106,0,0,0,2.63905733,0.693147181,5.700443573,4.851952136,0.776854872,1.03314134,1.046122451,2.397895273,2.079441542,2.079441542,3,2.397895273,2.944438979,4.624972813,3.850147602,0,0.693147181,1.791759469,0,1.098612289,1.945910149,2.564949357,6.520621128,4.025351691
0.693147181,0,4.878246106,0,0,0,3.17805383,0.693147181,5.700443573,4.851952136,0.776854872,1.03314134,1.046122451,2.397895273,2.079441542,2.079441542,3,2.397895273,2.944438979,4.624972813,3.850147602,0,NA,1.791759469,0,1.098612289,1.945910149,2.564949357,6.403574198,4.025351691
0.693147181,0,5.426710581,0,0,0.693147181,3.36729583,0.693147181,5.833494081,5.036887665,0.798058251,1.241627463,1.153378235,2.397895273,2.564949357,2.564949357,3,NA,NA,NA,NA,0,1.791759469,NA,NA,NA,NA,NA,6.338594078,NA
0.693147181,0,5.426710581,0,0,1.098612289,3.36729583,0.693147181,5.823962635,5.036887665,0.780306367,1.218784863,1.153378235,2.397895273,2.564949357,2.564949357,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.326149473,NA
