"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62"
"Target_markdown_price",0.0505220807047377,0.0114094102984014,-0.0365567866799566,-0.0128789471416143,0.0109362423315448,-0.0296700159721102,-0.427113041627219,0.291869820646641,-0.444842724216586,0.00155886990732829,-0.128910191883174,-0.0183354633107271,-0.0218123212905418,0.00159888407665942,0.0500470012364074,0.034394478929618,0.0142183501386162,0.0097143749991955,-0.0697022561973585,0.00252598262333367,-0.0135103848537765,0.0121779873537065,-0.000398553326025466,-0.00982048291685281,0.00214054299481296,-0.0045654384896969,-0.0120053013117686,-0.0168957598621357,-0.0408837538485993,-0.00832342181311947,-0.00129264271683924,0.0112788423671859,-0.0094848478487789,0.00324347806381946,0.00504088626490162,-0.00995108182759737,0.00281536008009733,-0.00376445069339605,-0.00184482013956789,-0.00200814327979621,0.00282075486659463,0.000567005906918898,0.000559968159563773,0.000202348310207682,0.0142274131649273,-0.323832200220951,-0.0124538009481939,-0.047342497405788,-0.591847682400862,-0.0564258212306236,0.0721643026984507,-0.0242440088688657,-0.0655127666228661,0.0150517964847978,0.0384258476756844,0.0272903454108268,0.0728314805525942,0.109686930258443,-0.00813419681457912,-0.000630236694628398,0.0936734010406925,-0.0192813190388797
"Target_final_price",0.0540075306388846,-0.158189821260998,0.116862340538155,0.101984108417963,-0.155192459234392,-0.353122663292395,0.0741685927665675,0.00627785866402733,-0.0773535879351587,0.156196935214196,0.0976632542986467,-0.0359060393808858,-0.0271814065489765,-0.0376350682208298,-0.000972021925677413,-0.0859945997433895,-0.0237280904683793,0.238372511180722,-0.0023469257367324,0.0351134218903409,0.0163488854770283,-0.018227889452296,-0.0472345568263518,0.0412827248992123,0.0405549001969708,-0.0391853493634113,0.207800841218716,0.032784245576522,-0.0730784624494678,-0.0155508329130218,0.0446607281389556,0.0369411659210878,-0.0269908039136961,0.0840424790482671,0.0403582636331039,-0.00254242543657863,0.0811182706564022,-0.0177964791490676,0.0693945532897776,-0.010240683734325,0.0109130617751364,0.0143131862075695,0.0583609692206778,0.00185330576798551,0.250907204900471,0.0797453572916993,-0.364391089301004,0.0961504284038062,-0.120633175062964,0.5356279102833,-0.103177034501819,0.0510730106309786,0.193099223998004,-0.120196945033688,0.0005374968214409,-0.0766999751904436,-0.0507336291971525,0.0992455179083166,0.0414283181833308,-0.00386626165644117,0.0156157047394947,-0.0186671744648192
"kohl_pdt_desc_length",0.0470037681040767,-0.0700225254284928,0.0915160380841672,-0.0452422854597703,0.0611485884334094,0.0393696213825659,-0.0745702677474326,0.217773588038129,0.0930964193859644,-0.181006514469935,0.362971348188507,0.63912981755998,0.152703897134271,-0.325370425284046,0.172497636826361,-0.327019611275647,-0.14068827472931,-0.0395130170519222,-0.207981715540504,0.0749004154707053,0.00750427747567858,0.0665020390293563,-0.00683527407681454,0.0133017434602613,-0.0119236107012435,-0.020417593204768,-0.00843588970724474,-0.00523656782847986,0.0130854179869759,-0.027959870024274,0.00122118272967449,0.00612877061358109,-0.00492672606023563,0.00249217744717329,-0.0015402740137593,-0.00129229253971963,-0.00560637499121132,0.00177307852912282,-0.000241328903864206,-0.000862460454522787,0.000218679431925698,4.35126017469048e-07,0.000362247553595697,4.92721476760866e-05,2.84494650060196e-16,-5.24753851482984e-17,-1.17961196366423e-16,-4.30645102911242e-16,-8.97719398817998e-17,2.08166817117217e-17,-1.17093834628434e-16,6.89552581700781e-17,1.45716771982052e-16,6.41847686111419e-17,1.57426155444895e-16,-5.72458747072346e-17,-5.20417042793042e-17,1.86482773667507e-16,-1.17093834628434e-16,1.53455264988167e-16,1.40078920685127e-16,-6.11490025281825e-17
"Amz_pdt_desc_length",0.0368135475042686,-0.0907884287876889,0.087383310408925,0.0931480568053574,-0.0611367612448668,0.0739391232866023,0.143903902561561,0.541280926325728,0.208459839799737,-0.105262483174795,-0.0375039351701196,-0.213519985506942,0.100174651852684,0.115913552370885,0.141235498610797,-0.0812452620214192,0.105114799705748,-0.114336818722478,0.16979025733334,-0.038793247515664,0.0200097428377341,-0.0225856985772481,0.0528412387300154,-0.0608310791506399,-0.0279631631966636,0.00400443510033582,-0.110935813649189,0.0291325811481324,0.118681164339017,-0.374221738827002,0.081731482089826,0.241445724302201,-0.0346652879859934,0.229656852811667,0.0935958742036447,-0.0718071371426057,-0.114243410768432,-0.010919949603226,0.331896628546122,-0.0216451904614409,0.0646210327233326,0.0284721657797781,0.0897823008018821,0.00464986817050889,6.09928774153445e-15,-6.13918638148192e-15,9.18709552877317e-15,-8.6389229103645e-16,-1.70176372993325e-14,-7.12543681691399e-15,6.22895832136372e-15,-4.18415302405606e-15,-8.3095422903634e-15,1.33747179997812e-15,-5.28223298434938e-16,1.49099482760207e-15,7.91304955588545e-16,7.6588041464376e-16,-9.63638890905116e-16,9.95948115645184e-16,-2.51534904016637e-16,-6.88685219962792e-16
"Target_pdt_desc_length",0.0849338709315512,-0.0790675929466371,-0.00840319203005692,-0.0735818225333477,0.0897492664030161,0.131788845381056,0.0525471517953194,-0.120651061477513,0.0353578111471183,0.457377415298865,-0.282780619233526,-0.217408078235392,0.421675956732444,-0.188819615729679,0.382682975777217,-0.0877248208799488,-0.113470032135322,-0.109727532546239,-0.394946181558246,0.110166753213942,-0.0208969561922208,-0.101713132491335,-0.131602424096994,0.0439168133359754,0.00729202471935196,-0.0745769114424854,-0.00465435336087386,0.0214085880755178,0.0144535075460718,-0.0285261582681055,0.0298425928643434,0.0286330914415797,-0.00134753537748736,0.0296178042845951,-0.000627863639074779,-0.00645632251576353,-0.0131134995276505,0.00604898247671456,0.00102762266140875,0.00100166258606993,0.00153376289721424,-0.000883045753137576,-0.000138774250139792,0.000107621448066028,5.96744875736022e-16,6.10622663543836e-16,1.45716771982052e-16,4.16333634234434e-17,5.20417042793042e-17,-1.11022302462516e-16,-2.8796409701215e-16,6.59194920871187e-17,-2.04697370165263e-16,-2.04697370165263e-16,-4.00721122950642e-16,1.04083408558608e-17,-1.45716771982052e-16,-1.85615411929518e-16,-2.77555756156289e-16,-2.60208521396521e-17,1.11022302462516e-16,1.14491749414469e-16
"Price_diff_amazon_final_pr",0.111021484874333,-0.132967341367336,0.0370638757456936,0.0567466281944631,-0.0372810098819966,0.301431930573024,0.0815071321947406,-0.0652090456648607,-0.217307649381482,0.225648191750107,0.201249466036833,0.0363991992075445,-0.0837893236641751,0.0711260577685524,0.00755479216270552,-0.118328840340614,0.0481989048725764,0.121383871803231,0.146149922027846,0.00786033961892525,0.0369947509494974,-0.156282550765846,0.0164122851398021,-0.0814645876078928,-0.0163227916214781,0.12971002315331,-0.0778952824062279,-0.0227321723521673,0.0750307008013071,-0.263539269401168,-0.0344439054157218,0.0416442006251005,0.00621272727768408,0.189754898187254,0.0886261223362233,-0.0600540261934371,-0.199842467398613,0.0575960208789483,-0.609732323018159,-0.0091718400689781,-0.00234013397337264,0.0300534249908792,0.244459946915948,-0.00221347078639201,-5.06539254985228e-16,-1.65943647711941e-14,4.51721993144361e-15,1.90776214270549e-14,-3.83026943495679e-14,-1.34770666848638e-14,7.43936162672654e-15,4.01068067645838e-15,-1.14352971536391e-14,1.59594559789866e-15,-7.39165673113718e-15,3.66894015169095e-16,1.9971004017183e-15,8.12371003799939e-15,1.43044213626875e-15,4.44184077540155e-16,1.75380543421255e-15,-7.41160605111091e-16
"Price_diff_target_final_pr",0.126858910903384,-0.133867706574036,0.0256524802807857,0.015547619147398,0.00336126872451736,0.319620750826661,0.0475365438104688,-0.135717765378005,-0.139210697727801,-0.180279542175581,-0.0454530414509622,0.0512674069019795,0.0048564498935757,0.025933543248855,-0.0312373855757144,0.0833751179346861,-0.02111860429869,-0.0856062577533901,-0.0517885717615186,0.010266778232595,-0.00219393726346401,-0.145439115944459,0.00210100428730553,-0.0769983108471906,-0.0481764159897634,0.155771572892851,-0.242844783624107,-0.0742445142076948,0.0959063688472209,-0.0339524944601043,-0.0838610888001307,-0.0769099574347667,0.0474595375148499,-0.0792223375593119,-0.0453603188435171,0.0316060874040495,0.0642407207566534,-0.015222062476222,0.192083460129823,0.00542927505640952,-0.00182190165592422,-0.0182436483531779,-0.129615038180234,9.73722786200819e-05,0.299831135734878,0.0356094316610402,-0.152100528753734,0.656286292024684,-0.0674768964905183,-0.00539860071671566,0.00418548524694104,0.0406858890429591,-0.0176427121545443,-0.0151651458728007,-0.0309057841152165,-0.0279652289134226,-0.0217778052290726,-0.0269624572124973,0.00848418856141481,0.000925851461355222,0.0136667761819394,-0.00228748888251179
"Price_diff_amazon_reg_pr",0.149943307745903,-0.164594649606841,0.0162655980068261,-0.128836809049973,0.158848119767701,0.0241260161486426,-0.0152793738944016,0.0176128777563526,0.0142916607817055,0.197922587884689,0.0353981639371729,0.0477195522955054,-0.0540351034248046,0.0781532855869106,-0.0354670133660505,-0.0531310567807871,0.0537135348832048,0.104431203491168,0.116453266367887,-0.0184273256888641,0.0129483961463279,0.136140275513998,-0.0150719042707604,0.0998702839307526,-0.0416686780689609,0.143886550157813,0.132666465834948,-0.0503825735418562,-0.0372431274720875,0.0372678767305556,0.109911499466281,0.14310296521958,-0.0149079933262152,-0.0304803845864872,-0.00151781429459993,-0.103047648501309,-0.463846040853204,0.053439389550055,0.0406407005968765,0.0189413891478031,0.0133483510866215,-0.137938264073036,-0.68236839314422,-0.00744232726273782,-3.08017500394442e-14,4.40368227994092e-14,-4.21537804662364e-14,-2.58681964737661e-14,1.13062337270264e-13,4.19837775655907e-14,-2.83679330026487e-14,8.3474893664004e-15,4.41122832706142e-14,-1.14691242614207e-14,7.62757912387002e-15,-7.14359127407249e-15,-6.88641851875893e-15,-1.88781282273176e-14,-2.55351295663786e-15,-2.543104615782e-15,-1.83943030078459e-15,1.40859546249317e-15
"Price_diff_target_reg_pr",0.152939520696169,-0.157513967874249,0.00865861381610072,-0.140991512303625,0.168677273494713,0.0534711175683226,-0.029897655044974,-0.0442415678666752,0.0468638576064651,-0.0648424029403499,-0.111051021835193,0.0590682675918532,0.00169460107642017,0.0443195157622716,-0.0591313751446232,0.0751422089855089,0.00575813848711629,-0.0289283039512461,-0.0122062932840121,-0.0135295818676346,-0.010146375025223,0.107096707149935,-0.0193260655128215,0.0785025409592446,-0.0538958191545138,0.154693936205153,0.00845254224419617,-0.0756465254907865,-0.0202101933899914,0.164702590109412,0.0378192469154589,0.0252137970417175,0.0164678921210151,-0.164319943885551,-0.0659075932970399,-0.052376014673148,-0.339948751836874,0.0285835062043192,0.141411481386338,0.00739655524223824,0.0329094897078086,0.0897273554057641,0.453284813252159,0.00391952446456301,-0.390253872205896,-3.93899322881364e-14,-0.495077495064396,4.00651734011603e-14,-1.33615341013638e-13,-4.38208497266501e-14,3.13588131156672e-14,-5.81576887342949e-15,-5.94307589252274e-14,2.23308784658149e-14,-5.76578715327791e-15,7.8888176373304e-15,7.17416577533658e-15,1.65358449589342e-14,-1.22384741230164e-15,3.82978154397917e-15,3.76326574069719e-16,-4.11118621784778e-15
"Price_rat_amazon_final_pr",0.0952554976926178,-0.140586152875586,0.0683683056622,0.0821926855188529,-0.0343392943205567,0.289136861394518,0.127377770264393,0.298691527916218,0.00583391151255631,0.123942662952608,0.108997840361652,-0.096251205592584,-0.0246419406242055,0.0749236827144924,0.0762322644350433,-0.107326918204084,0.0584727766057727,-0.00634848616408583,0.135053228147391,-0.0386959188916341,0.00561816324638136,-0.0311385909225639,0.050658559001492,-0.0548253314658851,0.126354565790769,-0.294798300381217,0.0160563991927185,0.0469359277558691,-0.157275654671246,0.561627000705997,-0.200376580093493,-0.415488756921006,-0.0506832643903585,0.0654986391333852,0.0915724812512615,-0.00558212352148084,-0.0505676253306742,-0.0204488215746433,0.0472672840313945,-0.0192035319457328,0.0218433431694143,0.00238270611227837,-0.00612722975610699,0.00107813767035363,6.24500451351651e-17,-2.62984078958084e-15,0,-2.48065457064683e-16,6.31439345255558e-16,1.13103970633688e-15,1.4883927423881e-15,-6.49653941753314e-16,-2.42861286636753e-17,4.92661467177413e-16,2.77555756156289e-17,2.10768902331182e-16,2.42861286636753e-17,-2.92077289004017e-16,3.64291929955129e-16,-1.60461921527855e-17,2.12503625807159e-16,-5.0263612716428e-16
