"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"Target_markdown_price",-0.0381775740495004,-0.180837103005163,0.218024889990058,-0.0205295111782988,0.0835385782280288,0.151870621110226,-0.0605268366798367,0.0453502636154329,0.250274758160409,0.146182202626835,0.268277121021707,-0.0994010411621118,-0.159356638631137,0.219312844204386,-0.139400243044412,0.137899930658384,0.000663662775193058,0.106358671521604,-0.0255765484519534,-0.271061173856102,0.690546844692208,0.0477080001096403,-0.0794979564812165,0.0932263559701492,0.156652208586733,-0.0114686829641266,0.00637942376844937,-0.00490708191306825,4.32705087038965e-16,-3.82072845583892e-16,-6.10622663543836e-16,7.71951946809679e-17,1.11716191852906e-15,-3.50414142147315e-16,-3.90746462963776e-16,-1.13515967459232e-15,4.64905891561784e-16,1.29941630372388e-16,-1.32185928869433e-15,2.52402265754625e-16,4.34114549863196e-16,-4.25007251614318e-16,-5.69422980989387e-16,1.11889664200504e-16,-1.32706345912226e-16,1.45716771982052e-16,2.30718222304915e-16,-1.07119174641568e-16,2.07489190759413e-17,4.4697414786101e-18,8.66993863623821e-18,3.5301622736128e-16,3.05311331771918e-16,8.78203759713259e-18
"Target_final_price",-0.0248659059737005,-0.219724370428308,0.0525790712016466,0.159965611236994,0.158666021049472,-0.227932826779247,0.108789560293718,-0.0319798050744275,-0.0537304685970768,0.0291907374562984,0.0332946400128277,-0.0146586244742948,0.21862318901907,-0.0521208857654264,0.104386537565728,-0.043512968282999,-0.260924454388795,0.176704290326191,-0.0209796566871703,-0.0968739284108748,-0.0415922842531557,-0.153948371126254,-0.0107292572588663,0.0634706160971561,0.162137177129831,-0.189977934223616,0.391250125354721,0.00980406283957987,-0.00277689921531729,-0.0482607409150848,-9.0205620750794e-16,-0.0332669444600931,0.0287327413039894,-0.21708387309585,0.156003159345209,-0.109947096870747,-0.30313811061578,-0.0146464169812754,-0.251717861600831,0.0376438954043406,0.165819402171056,-0.149095153475174,0.0971262558522502,0.0318838159285244,-0.0242282594793296,-0.107614448453383,0.0626966280337628,-0.0227419689335397,0.000470935582039189,8.70360045540062e-18,-1.47426239715385e-16,-0.172227843189018,-0.126914555657063,0.207059090134142
"kohl_pdt_desc_length",-0.0136804466183996,-0.0196670992686939,-0.0750743515370937,-0.117813966423947,0.0219221530469293,0.208706631512555,-0.21187566229698,0.336047398181882,0.45817921652301,-0.21615829488444,-0.185702987384628,0.273434477672856,0.501281315360943,0.302838889675898,-0.0719341596913175,-0.20310607540381,-0.133013767169383,0.0350102701418708,-0.00413798531905358,-0.0214310492827466,-0.0431197421552871,-0.0047586488267051,-0.00666492499090672,-0.0197258454899773,-0.0291697673650527,0.00787468090190406,0.00984555279844323,-0.00242966440321945,-2.25514051876985e-16,-1.71737624121704e-16,1.38777878078145e-17,-3.46944695195361e-16,-2.35922392732846e-16,2.35922392732846e-16,-5.68989300120393e-16,5.55111512312578e-17,-9.71445146547012e-17,-2.37657116208823e-16,-5.55111512312578e-17,3.68628738645072e-17,1.45716771982052e-16,-1.38777878078145e-17,2.08166817117217e-16,-8.67361737988404e-19,1.99493199737333e-17,2.77555756156289e-17,-8.32667268468867e-17,-8.50014503228635e-17,-1.85398571495021e-17,1.1939735106658e-17,-2.14020777154518e-18,-2.0122792321331e-16,1.14491749414469e-16,1.38777878078145e-17
"Amz_pdt_desc_length",0.0116438917592375,-0.0848726256027787,-0.219829276986822,0.00789463908516586,-0.12613517246805,-0.336072502374222,0.107696083229519,-0.152959195203331,-0.221991286572764,0.0900823414050193,-0.238471153844202,-0.113372804645935,0.218175786716252,0.412228150757936,-0.608479311671107,0.152749078154043,-0.0128055142347992,-0.116765301958873,0.0156403443011334,0.0667891850323943,0.092299572185113,0.119799681102507,0.00303753902575365,0.000125066263561791,0.0235084447929025,0.0160783953413663,0.000132131832543916,-4.96526978125272e-05,-2.66713734431434e-17,5.75494513155306e-16,8.32667268468867e-17,3.19189119579733e-16,1.94289029309402e-16,2.08166817117217e-17,-2.94902990916057e-17,3.29597460435593e-17,-7.45931094670027e-17,3.0140820395097e-16,3.12250225675825e-16,7.19910242530375e-17,-1.59594559789866e-16,4.5102810375397e-16,-2.81025203108243e-16,7.11236625150491e-17,7.97972798949331e-17,3.12250225675825e-16,-1.01481323344643e-16,3.46944695195361e-17,-1.1817803680092e-17,2.37282119367064e-18,-7.97333880561904e-19,3.95516952522712e-16,-1.31838984174237e-16,-1.70002900645727e-16
"Target_pdt_desc_length",-0.0194126201864298,-0.113553840501852,0.0556797784237605,0.209566460039313,0.19648904910493,-0.00456264563796323,0.00864532348070623,0.0534409771357602,-0.098255743457604,-0.0523279556392965,-0.0872469846522333,0.79697493628279,-0.276629057593293,-0.128344253098379,-0.307044548177706,0.183186339559492,0.0482368478388571,0.137363108421979,-0.0114938817792936,-0.000355422172479309,-0.0177659381742929,0.0117089581885615,-0.00984599869589279,0.0119366823114289,-0.00749601489491951,-0.00804085655344033,-0.00189375368126299,-0.00192041767195775,5.68121938382404e-17,-2.09901540593194e-16,-2.77555756156289e-17,-1.04083408558608e-16,4.71844785465692e-16,-1.2490009027033e-16,-1.94289029309402e-16,-2.22044604925031e-16,9.71445146547012e-17,-1.42247325030098e-16,-1.66533453693773e-16,-5.20417042793042e-18,5.55111512312578e-17,-2.08166817117217e-16,-1.38777878078145e-17,-1.64798730217797e-16,1.21430643318376e-16,-1.11022302462516e-16,9.36750677027476e-17,-2.77555756156289e-17,-2.42861286636753e-17,-3.18129371283575e-18,8.04481857381065e-19,-2.15105711021124e-16,2.25514051876985e-16,2.77555756156289e-17
"Price_diff_amazon_final_pr",-0.0202542806999541,-0.243333816469066,-0.173418995789683,-0.000867162284663958,-0.0165724702527507,0.0278404498769154,-0.113197585412825,-0.0293076587086949,-0.0307907235087554,0.0227845152185575,-0.0434904087776226,0.0562530814489776,0.121362326171803,0.029247712589183,0.191038661180263,0.248285205966911,0.36543583431621,-0.152677877835568,0.0508532225269255,-0.0378238231695544,0.0928493302207431,-0.276062487675546,-0.0758814856445398,-0.564632962356512,0.0597160034235795,-0.291689291209408,-0.010705125590049,-0.341026198727029,-1.36795143355212e-14,-1.43244791028785e-15,1.52655665885959e-16,-3.05490225130378e-15,-6.33174068731535e-16,5.27876353739742e-15,-3.60822483003176e-15,-9.26645912779911e-15,-2.60208521396521e-16,7.50896740620011e-15,-5.38805111638396e-15,4.32846033321388e-15,2.16840434497101e-19,-1.30163891817747e-15,4.46257614195034e-16,-1.34874750257197e-16,9.66132555901833e-16,-6.33607749600529e-16,1.26201132877313e-16,1.5185335627832e-15,3.04145814436496e-16,1.91990185637143e-18,-7.28428041164822e-19,-1.64852940326421e-15,1.67314079257963e-15,2.28289609438548e-15
"Price_diff_target_final_pr",0.004321897927965,-0.197819301649138,0.10789899476524,-0.289754676112384,-0.125508441185057,0.0255532315028983,-0.101478810631535,-0.070650326104165,0.119025454529642,0.128091298130207,-0.00592145745099165,0.0618133005366475,-0.00328098492856332,-0.156568528757118,-0.0514459219122344,0.0258908103092641,0.219067510172031,-0.142980587186336,-0.00395759353765371,0.0491993068330789,-0.00922770149005889,0.269778244001249,0.0478050667416268,-0.199467838294707,-0.180136890277831,0.502213328104169,-0.108532214704743,0.0526408826694934,-0.00231990850497466,-0.040318533235927,1.30451205393456e-15,-0.027792246460371,0.0240042312500538,-0.181358661024319,0.130329921292306,-0.0918532454190397,-0.253251064036643,-0.0122360750922966,-0.210292978860177,0.0314488882518525,0.1385307177393,-0.124558757008785,0.0811423136157664,0.0266367376013681,-0.0202410461701171,-0.0899044779330902,0.052378725092685,-0.0189993525360674,0.000393434322730986,1.2652279192709e-17,-1.17767301228225e-16,-0.143884529911966,-0.106028391470144,0.172983643621747
"Price_diff_amazon_reg_pr",-0.0308422871483511,-0.245713215372557,-0.156432419425036,0.00463550541019913,-0.0268615575163529,0.00459859112421375,-0.109383277035383,0.0307439106919995,-0.0364755748390473,-0.0808884941964602,-0.0366587363028886,0.00999071613650283,0.0666782428005852,0.097657413844513,0.169249451311633,0.234388164292502,0.391203027573853,-0.0970697630764184,0.0576389483428374,0.0456913660467353,-0.0284419429652308,-0.398733767767306,-0.0773836723074099,0.504748821512027,0.0491744572775057,0.175818744565963,0.0166865268526932,0.414254869418956,1.59056795512313e-14,2.73088843205649e-15,-2.08166817117217e-16,2.53247943449164e-15,3.08780778723872e-16,-5.38631639290799e-15,4.6525283625698e-15,1.07891126588378e-14,1.11716191852906e-15,-9.32684918880655e-15,5.76795555762288e-15,-4.72538674856082e-15,1.31838984174237e-16,1.36305897124878e-15,-7.12971348626468e-16,7.96238075473354e-16,-1.5560469579512e-15,5.02852967598777e-16,1.79110198894605e-16,-1.97936014367101e-15,-4.29296626459214e-16,-1.32985612933095e-17,-6.12915904634323e-18,1.77635683940025e-15,-1.43982048506075e-15,-2.67147415300428e-15
"Price_diff_target_reg_pr",-0.000733984025137748,-0.191510827226119,0.0627352105498377,-0.302056178480253,-0.178318581080648,-0.100381294781874,-0.0632288063412599,0.0134103615795006,0.0274056102242534,-0.120426350075161,-0.0869581970289476,0.0188954188423659,0.0167410579833987,-0.181224957699599,0.00181058081773156,-0.0239297481009541,0.257768466132176,0.0649972086076813,-0.0316887880083932,-0.0196821203474529,-0.0187131989886883,0.39286072222606,0.161448488379206,0.31189343502499,0.0742042319029101,-0.51014068980338,-0.00991464788347746,-0.0776617914850734,3.43670404634455e-15,4.93908299675772e-16,0.378488698292294,2.47631776195689e-15,-2.08166817117217e-16,9.38485400503453e-16,2.79073639197769e-15,-2.7300210703185e-15,8.6389229103645e-16,3.72471049500406e-15,-1.69092170820839e-15,-5.86594032896126e-16,-2.05304523381855e-15,1.12757025938492e-15,1.04291439850454e-15,-1.2416283279304e-15,1.0992590301559e-15,-1.12681131786418e-15,-1.81582179847872e-15,2.57866644703952e-15,1.85032653261807e-16,7.0652837159477e-18,-3.32278463733849e-18,2.86836526752765e-15,-3.32253755758183e-15,-1.05731395860786e-15
"Price_rat_amazon_final_pr",-0.0240895937097804,-0.12914779861809,-0.358721545604426,0.00436573942364393,-0.111491405589226,0.187574421375282,-0.0706485074471254,-0.0012580124373417,-0.0283215831602189,-0.0191135186124749,0.117459080107436,-0.0104628846571393,-0.0467866526514278,-0.0240899820079178,0.0726022841340178,0.323266043792743,-0.327030285930935,0.0169622880677033,-0.0574986066719742,-0.220089199228378,-0.0936913099030972,0.253574777742497,0.0635752508549724,-0.260989385767881,-0.054016636592937,-0.197644926787293,-0.0642137855546642,0.568767131652669,2.16478361793468e-14,8.18665813850754e-15,-2.4980018054066e-16,4.01756536025366e-15,-6.52689707836274e-16,-6.94951908519759e-15,5.18620147098737e-15,1.20518016139687e-14,-4.88270448378847e-16,-1.07023256630621e-14,7.74825082566766e-15,-4.54454182619024e-15,1.82688066063807e-17,1.54759018100581e-15,4.96239334346615e-16,2.24554532954335e-15,-2.81116005040188e-15,9.96951002654733e-16,6.83982493039637e-16,-1.69281906201024e-15,-3.66963048354296e-16,1.08893375099149e-17,3.50746492017783e-18,5.0344114727735e-15,-3.0556069827159e-15,-5.09371733160846e-15
