"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"Target_markdown_price",0.012133959265912,-0.0760948904477908,-0.0148363651807934,-0.020756077339976,-0.106423183768831,-0.0728505055879679,-0.18375678558558,-0.629037637912526,-0.203562664719057,0.0558146801262707,0.0193946710187954,0.00364717499349898,-0.0139946492064544,-0.000955455422910312,-0.0086050264639921,0.00689565142127468,0.00407276796392662,0.00185332099453758,-0.0138577991748167,0.408925397083721,-0.575331676696718,0.0563497505022514,-0.0190487737900482,0.00175422129502727,-0.00328980314014649,-0.0037896308414313,-0.00544841346886321,0.000600962354795967,0.00478907761606592,0.00125305836717797,0.00122614010595787,-0.000652095495073896,0.000232213025976954,0.000876170776563129,-4.55342173477915e-05,7.8210207635506e-05,-0.000333166045580534,-0.000200185230365855,-0.000119199267840358,-1.93807088486904e-06,2.09806738338019e-05,-2.79577097952488e-05,-2.01891853012241e-06,1.57061193971536e-05,0.000293496555034335,4.11996825544492e-17,2.71267383555873e-16,4.16333634234434e-16,3.13009167196565e-16,-2.82028090117792e-16,-3.72965547335014e-17,-2.94902990916057e-17,2.53703308361608e-16,1.38777878078145e-17,3.38271077815477e-17,1.29236898960272e-16,-1.65268692443806e-17,1.26535182189404e-18,-1.74474368081627e-17,3.53883589099269e-16
"Target_final_price",0.0987329661315192,0.114273381537753,-0.0718967060111287,-0.135683510648057,0.2608474970006,-0.200126786864318,-0.0712808797407861,-0.0238493652603392,-0.0266485847004856,-0.379795478433817,0.0359930052514794,0.101109600874115,-0.0283756901206951,-0.0179803788439833,0.00891590068208098,-0.101486981802295,-0.0289220854717723,-0.00422919904048774,0.0750150064025584,0.196925393257402,0.132990618379962,0.0333909053239109,0.0343721310692524,0.0141004510750837,-0.0167863832245739,0.0081488325204549,0.0585029719270919,0.00647885933367068,0.0279664912415703,0.00474751765671519,-0.0150902953112564,0.00544587845740041,-0.00175591105035846,0.0127261559821945,0.00505089331392324,0.00119750485642524,0.00209772047928273,-0.000161971036397925,0.00152350384126791,5.19059886582349e-05,0.00101127454751051,0.000461260475226994,0.000914827929687909,0.000194572911428189,-0.591418486420736,-0.29932439984069,-0.0357348298255239,-6.07069949865036e-13,0.381485725563531,0.00982546421247514,0.0541861941846676,0.00409334540174722,0.014669060101217,0.0741502550366217,0.0253372603317288,0.0255725800423849,7.25031286066243e-17,-1.26747017057331e-16,-8.28299886776778e-17,-0.0716567668710383
"kohl_pdt_desc_length",0.0139533539477603,0.0120647742155657,0.0374795048900515,0.00215580143900979,0.0452892004940752,0.252007058813147,0.255676797805826,0.0499566381916968,-0.488764745114099,-0.0478623568603897,-0.0535204566911418,0.402806482600297,0.186388872797491,-0.371752053154313,-0.130934785034211,0.33607077479612,-0.253693695247374,0.147954128331174,-0.188599823357054,0.0870937198713007,0.0694923203939224,0.103538080402804,-0.0651101363559182,0.0104528717598337,0.0213613610253371,-0.0553779402465703,0.0448606040271996,0.0196894381295807,0.00157340025182955,-0.0124952225233498,0.00750445343492893,-0.000534834373541346,0.00642998006520304,-0.000238655592346232,0.00251951441472842,0.00133173050513057,0.00169225111254023,-0.000362128040757242,0.000372479492322764,0.00139159355079021,0.000927453126918321,0.000197584094372194,0.000408331206989661,0.000428145451595128,-3.48512452120336e-06,5.55111512312578e-17,2.31585584042904e-16,3.88578058618805e-16,-3.88578058618805e-16,-6.63531729561129e-17,-9.54097911787244e-17,1.82688066063807e-16,-1.17527515497429e-16,-4.16333634234434e-17,-5.98479599211998e-17,-4.33680868994202e-17,3.00993815970181e-18,1.00258423705572e-18,-1.45186087642423e-18,-2.55004350968591e-16
"Target_pdt_desc_length",-0.0353885645634589,-0.0032543504792846,0.045649700273322,0.0525860037648489,-0.111957171777503,-0.18154737942047,-0.151662188285393,-0.0964335402029248,0.554945612559753,-0.0750863451467935,0.254134351203275,-0.201630107380928,0.165776166010272,-0.431875422371896,-0.219720078874742,0.227338873787043,-0.250972392135287,0.174236157089377,-0.240950192089121,0.0880905300048067,0.0689071107337715,-0.0124995473910681,-0.0784348422222057,0.0385866798155892,0.0709636665042148,-0.0586349496775771,0.0432651233644158,0.0325137543446453,0.00517434837002838,0.00522441006277559,0.00871180840819808,-0.000873712168498755,0.00617574941122209,0.00227727643451712,0.000838349705762483,-0.00108395862070056,0.00188829106542632,-0.00126228061460934,0.00081375394366938,0.000690958349729751,0.000694081687146867,0.000229369915305262,0.000220682389415787,0.000431048053579442,-2.7736388877736e-06,-1.16226472890446e-16,2.80157841370254e-16,2.22044604925031e-16,5.20417042793042e-17,6.82505267579625e-17,1.27502175484295e-16,-3.81639164714898e-17,7.19910242530375e-17,5.55111512312578e-17,5.20417042793042e-18,1.11022302462516e-16,-3.5498951692282e-19,-6.55568572560762e-18,-8.33912341350595e-18,-4.85722573273506e-17
"Price_diff_amazon_final_pr",0.079771167879339,-0.333196445881297,-0.0725823026742882,-0.0511565311663803,-0.0133288589387334,-0.0914036968696461,0.0104296658073392,0.0431144058848318,0.000732196433261556,-0.137415483482275,-0.00579014158445007,0.0694983322222768,-0.254303463220065,-0.0288786398335512,0.0125176570910255,0.121975926627762,-0.0476132165464762,-0.0464323026304326,-0.260494722817532,-0.0740935119170967,-0.0683715284001097,-0.304209599634579,0.0929396304245455,-0.490360889965279,-0.360688702377714,-0.0364507714125699,-0.142960396090802,-0.033453295372856,0.141559443062012,0.0858840270743495,0.0343040391970671,-0.00604303144679448,0.0333304429446512,0.389360201577824,0.0222238579067593,0.0236778578147074,0.011031627777626,-0.0108778092094378,0.0145750172689398,-0.00534425161848166,0.000659641329464962,-0.00144779314015429,-0.00171002904510833,0.001368162607124,1.32836434008771e-05,-4.1096683348063e-16,1.23887038865414e-16,1.12410081243297e-15,9.30191253883939e-16,1.55352618790017e-16,-1.36555263624549e-16,-2.67255835517677e-17,2.16352543519482e-16,-7.46906876625264e-16,-9.32474854709736e-16,-3.81856005149395e-16,-1.37441512814498e-17,-2.8322361886332e-17,3.54133237889647e-18,-2.15539391890118e-16
"Price_diff_target_final_pr",0.0721240287922788,-0.286903055723016,-0.0752423701136256,-0.201355601438564,-0.12192199605179,0.133123003175179,0.0390259228130941,0.0377638717955698,0.0190971412486137,0.115815172293622,0.0244393677330551,-0.0785332001150049,0.147819173723732,-0.0516683441224171,-0.0111937048760021,0.0707108656519264,0.058794141389776,-0.00279454586497527,0.0817727365673282,-0.222791009211404,-0.153097774167563,-0.00772822941734677,-0.0819466317055134,0.0550319829106454,0.0485253040564975,-0.014433737012368,-0.185823271541767,0.199339537869761,-0.0242136491107522,0.0238524303668261,0.0489996779683887,-0.00306164197244103,-0.00772759795006762,-0.0831135261222668,-0.0238094907418534,-0.00963094980180437,-0.00932581691100453,-0.00400333381845528,-0.00425586543441927,-0.00152008836795222,-0.00288771243263969,-0.00110450434764801,-0.00252946414210805,-0.000928775089816608,0.285275796530368,-0.429483325266418,-0.0512738472011353,3.07337488791859e-13,0.54737187494254,0.0140979921587779,0.0777486461985205,0.00587330533558169,0.0210477886677603,0.106393926185533,0.0363549741555439,0.0366926208425785,9.98900789761315e-17,1.29236112553592e-16,-3.96991980299844e-17,-0.102816163766362
"Price_diff_amazon_reg_pr",0.110113007913023,-0.226271992343237,0.00807881659894566,0.16431488896865,0.209277374756092,0.0599231629539661,0.0376567411759137,-0.0442283140791744,0.0381737869335292,-0.13099760482791,0.0479659266735114,-0.0448960383761224,-0.253019354033885,-0.0290216833206429,0.0196653414751064,0.0553334111229563,-0.0447750684643768,-0.00261668911415229,-0.124498968580188,-0.0693343155805044,-0.020300400415302,0.236811687214394,-0.0657600070247558,0.0705734142003864,0.0402567980887898,0.0752461086853894,-0.446920381919722,-0.554590384786962,0.0549645168155163,0.0340982570659753,0.0111207125460139,-0.0153985093021789,-0.0160471938383285,-0.398698118834578,-0.0184540663698299,-0.0145195084017346,-0.0067159432614545,0.0151631011523015,-0.0142099367736298,0.00795798002302796,-0.00515290511146952,0.00249737031399213,0.00257037789651495,-0.00243657456916559,-8.48661584019333e-06,1.41553435639707e-15,-1.82666382020358e-15,-6.24500451351651e-16,5.55111512312578e-17,4.04190569902596e-16,-4.33680868994202e-16,-3.36536354339501e-16,-5.20417042793042e-16,-1.04083408558608e-17,6.80011602582908e-16,-1.89084858881472e-16,1.70666873059746e-17,-1.18498406765158e-17,-3.51482984014694e-17,8.03176969377262e-16
"Price_diff_target_reg_pr",0.122687030103118,-0.137188525242842,0.00393844013677882,-0.0631521753857096,0.11634275464261,0.350138548487406,0.055781571732516,-0.0732768792178302,0.0785094327870761,0.0482808377192718,0.121114670646074,-0.1642423790519,0.0723864444508899,-0.0529249067660678,0.00597781600818728,0.0339445215224617,0.0421903707880672,-0.00928888963561608,0.0901774712048906,-0.206476222804404,-0.146602610873251,0.0790353676647169,-0.0351321712853307,-0.0399931018003818,-0.0873709950812765,0.00118885364738875,0.431877928429215,-0.288048124902346,-0.0585957548862845,-0.103915973605636,-0.0847305893715946,0.00132884442910661,0.0163439781290024,0.142246828665703,0.0382103651298665,0.016891414611146,0.011536048032623,0.00862209589198589,0.0043458629440661,0.00252089722646282,0.0047744077161939,0.000732015484409933,0.00255779814138768,0.00144825052244537,-0.172542988942499,-6.43061992544602e-15,-3.9863945477947e-15,-0.569313412101917,6.59194920871187e-16,-2.3863289816406e-15,-1.64798730217797e-16,-1.0399667238481e-15,-1.37390099297363e-15,4.9960036108132e-16,2.68882138776405e-16,-2.08166817117217e-16,2.87141247649225e-18,6.54208806598363e-18,6.74893524910276e-18,9.43689570931383e-16
"Price_rat_amazon_final_pr",0.0358905190008775,-0.349787007483889,-0.0360083125249824,0.122071876908646,-0.0356169126845957,-0.140870671121613,0.0477609541021542,0.0497683056046609,-0.0189199080627829,-0.0633231673213667,-0.0408700679849457,0.0816068236059364,-0.332861983614152,0.00595006645876234,0.0380061420136536,0.0743865426434374,0.0265308201634127,0.0722965738522004,-0.119880549078488,0.00759845253926235,-0.0179194256967176,-0.236884870160882,0.0936190866454203,0.0294575810306857,0.0326594643619213,-0.0299337639253835,0.48197218648117,0.216601183855256,-0.156796929476588,-0.0948078393804848,-0.0566540535641036,0.0208364137795648,-0.0430585077063612,-0.542185361791479,-0.031890271579497,-0.0350537402012082,-0.0161964856840865,0.0134622328953426,-0.0196895339932231,0.00747459288557707,-0.0017993950967632,0.00131895620712689,0.00080578055256447,-0.00220706118836091,-2.03943860651173e-05,3.97251675998689e-16,2.8275992658422e-16,-1.29757316003065e-15,-1.34961486430996e-15,3.85379662209973e-16,1.31752248000438e-15,2.1987620058006e-16,-4.9439619065339e-16,8.81239525796218e-16,9.07585638587616e-16,1.4137996329211e-16,1.88812939111736e-17,1.81192216146199e-17,-1.85438415463503e-17,3.00107161343988e-16
"Price_rat_target_final_pr",0.0460870347402397,-0.305745674314044,-0.0553533081771044,-0.161112219065366,-0.202595771214282,0.121770232939072,0.0572841693036568,0.0309953667777495,0.0329933997459491,0.11102514087205,0.0510784715187995,0.0218842301222641,0.0396270833736206,0.0329034870517827,-0.0192814988194119,-0.132276941424642,-0.0366404827157788,-0.0168288378435753,0.0285139851293231,0.456621032000636,0.318131374305435,-0.138713756071929,0.16385364481918,0.0851259471386703,0.0499210965498246,0.0581133898588468,-0.136291378322935,-0.221214566152076,-0.476679230049423,-0.292051909879337,0.0571000158064221,-0.0259983129322215,0.0108505556483835,0.150278187538427,-0.0104827218828056,0.00171526476342642,0.00392399842043362,0.00809750538142726,-0.00395611583370072,0.000116279350824351,0.000483215218455602,-0.00164012279499952,-0.0010309324925702,0.000444580661781943,7.09683204892786e-06,4.71844785465692e-16,-3.07913416985883e-16,-3.88578058618805e-16,6.10622663543836e-16,2.8275992658422e-16,-9.0205620750794e-17,1.94289029309402e-16,-2.46330733588707e-16,1.38777878078145e-17,6.93889390390723e-17,-5.89805981832114e-17,-1.41468936683892e-17,5.63498835092588e-17,2.46172488990489e-17,-2.67147415300428e-16
