kohl_product_id,kohl_product_name,kohl_Product_description,kohl_Regular_price,kohl_Shipping,kohl_markdown_price,kohl_final_price,kohl_additional_info,kohl_price_promo,kohl_Availability,Extraction_Date,TCIN,kohl_disc_perc,week_nmb,amazon_product_id,amazon_product_name,amazon_Product_description,amazon_Regular_price,amazon_Shipping,amazon_markdown_price,amazon_final_price,amazon_additional_info,amazon_price_promo,amazon_Availability,amazon_disc_perc,target_product_id,target_product_name,target_Product_description,target_Regular_price,target_Shipping,target_markdown_price,target_final_price,target_additional_info,target_price_promo,target_Availability,target_disc_perc,kohl_pdt_desc_length,price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_diff_amazon_reg_pr,Price_diff_target_reg_pr,Price_rat_amazon_final_pr,Price_rat_target_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Availability_flag,firstdate,lastdate,Recency_week,Recency_Month,TCIN_var,max_tcin_price,min_tcin_price,Gross_sales,Net_Sales
489589,McKlein Damen Wheeled Leather Laptop Case,Get on the road to a luxurious life with this McKlein Damen wheeled leather laptop case.,449.99,0,359.99,359.99,n/a,n/a,Yes,04/22/2013,589832,0.2000044445,21,B00061W8OO,"McKlein USA Damen Leather Wheeled 17"" Laptop Case",n/a,160.99,0,0,160.99,n/a,n/a,Yes,0,589832,McKlein Leather Detachable Wheeled Computer Case - 80714,n/a,160.99,0,0,160.99,n/a,n/a,Yes,0,88,199,199,289,289,2.2361016212,2.2361016212,2.7951425554,2.7951425554,1,04/22/2013,09/02/2013,35,3,1,359.99,359.99,,
733381,McKlein Flournoy 15.4-in. Laptop Briefcase,Take your urban style to the edge with this McKlein briefcase. This sleek laptop case complements your professional look. Enjoy the sophisticated style of this laptop briefcase.,279.99,0,223.99,223.99,n/a,n/a,Yes,04/22/2013,13618436,0.2000071431,21,B003VGVJB4,McKlein USA V Series Flournoy Leather Double Compartment Laptop Case,n/a,106.68,0,106.68,106.68,& FREE Shipping.,You Save: $78.32 (42%),Yes,0,13618436,McKlein Leather Double Compartment Case - Black,"Take your office with you with this double compartment case from McKlein. The padded pocket keeps your laptop safe, and the second pocket is ideal for storing paperwork. The adjustable strap makes carrying this piece comfortable.",165,0,115.5,115.5,n/a,n/a,Yes,0.3,177,117.31,108.49,173.31,114.99,2.0996437945,1.9393073593,2.6245781777,1.6969090909,1,04/22/2013,09/02/2013,35,3,1,223.99,223.99,1,1
489585,McKlein Halsted Leather Laptop Case,Be the president of perfect style with this McKlein Halsted leather laptop case.,284.99,0,256.49,256.49,n/a,n/a,Yes,04/29/2013,589847,0.1000035089,22,B00061W8RQ,McKleinUSA HALSTED Leather Brown Double Compartment Laptop Case,"Sleek, stylish bar-top design Front organizer pocket with storage space for media devices, business cards, key holder and pens Front compartment provides storage space for files and documents Back compartment padded with built-in 10 mm high-density foam laptop sleeve that protects laptops up to 15.4 in size and has organizer pockets for media devices Smart Zipper Attachment allows transport on extended handles of other rolling cases and luggage Non-slip, shock absorbing comfortable shoulder strap helps alleviating body strain",107.99,0,107.99,107.99,& FREE Shipping.,You Save: $82.01 (43%),Yes,0,589847,McKlein Leather Double Compartment Computer Case - 80334,n/a,107.99,0,0,107.99,n/a,n/a,Yes,0,80,148.5,148.5,177,177,2.3751273266,2.3751273266,2.6390406519,2.6390406519,1,04/22/2013,09/02/2013,35,3,1,256.49,256.49,0,0
489605,McKlein LaSalle Wheeled Laptop Overnight Bag,Travel smart with this McKlein LaSalle wheeled laptop overnight bag. In black.,449.99,0,404.99,404.99,n/a,n/a,Yes,04/29/2013,589792,0.1000022223,22,B00061W89E,McKleinUSA LASALLE 83405 Black 17-Inch Wheeled Laptop Overnight,"Front zipper pocket for small miscellaneous items Front organizer pocket with storage space for media devices, cell phone, business cards, key holder and pens Front compartment is padded to protect laptops up to 17 in size and a file pocket for documents Middle compartment duals as storage space for overnight clothing or electronic devices Back Compartment with 2 storage pockets for cables, umbrella, batteries and small miscellaneous items Dual Laptop Protection System uses a high-tech ABS honeycomb frame to protect from exterior impact and a 10 mm high-density foam that helps absorb shock and prevent moisture intake Smart Attachment Strap allows transport on extended handles of other rolling cases and luggage Bonus! Snap-secured detachable laptop shuttle/briefcase that protects laptops up to 15.4 in size Advanced, non-slip, shock absorbing neoprene Comfort Flex Shoulder Strap stretches for comfort, alleviating body strain",166.13,0,0,166.13,n/a,n/a,Yes,0,589792,"McKlein Leather 17"" Wheeled Computer Overnight - 83405",n/a,299.29,0,209.5,209.5,n/a,Save $89.79 (30%),Yes,0.3000100237,78,238.86,195.49,283.86,150.7,2.4377896828,1.9331264916,2.7086618913,1.5035250092,1,04/22/2013,09/02/2013,35,3,1,404.99,404.99,,
1194244,McKlein Lawson Briefcase,Professional poise. Look smart carrying this McKlein Lawson briefcase. Shop our full selection of luggage at Kohls.com.,239.99,0,191.99,191.99,n/a,n/a,Yes,04/22/2013,13618418,0.2000083337,21,B004IPV9AS,McKlein USA Turner Leather Expandable Attache Case,n/a,94.99,0,94.99,94.99,& FREE Shipping.,You Save: $15.00 (14%),Yes,0,13618418,McKlein Leather Attache Case - Black,"Step out in style with this attach? case from McKlein. This leather case features interior pockets for organizing your on-the-go life. This piece includes latch closures with built-in locks for added security, while the rich, black leather looks chic and expensive.",150,0,105,105,n/a,n/a,Yes,0.3,119,97,86.99,145,89.99,2.0211601221,1.8284761905,2.5264764712,1.5999333333,1,04/22/2013,09/02/2013,35,3,2,191.99,191.99,0,0
489608,McKlein Lexington Briefcase,Tote your belongings in this handsome McKlein Lexington briefcase.,284.99,0,227.99,227.99,n/a,n/a,Yes,04/22/2013,10146078,0.2000070178,21,B000BKEQGS,McKleinUSA LEXINGTON 83544 Black Flapover Double Compartment Briefcase,"Clean line design features secure key lock on front flap Front compartment with space for files; complete with organizer for media devices, cell phone, business cards and pens Double compartment divided by secured zipper section for important documents Back compartment padded with high-density foam to provide laptop protection, including most 17 laptops Smart Zipper Attachment allows transport on extended handles of other rolling cases and luggage Non-slip, shock absorbing comfortable shoulder strap helps alleviating body strain",109.07,0,109.07,109.07,& FREE Shipping.,You Save: $80.93 (43%),Yes,0,10146078,Leather Double-Compartment Briefcase ? Black,n/a,185,0,129.5,129.5,n/a,Save $55.50 (30%),Yes,0.3,66,118.92,98.49,175.92,99.99,2.0903089759,1.7605405405,2.6129091409,1.5404864865,1,04/22/2013,07/08/2013,35,5,1,227.99,227.99,0,0
489605,"McKlein Luggage, LaSalle Wheeled Laptop Overnight Bag",Travel smart with this McKlein LaSalle wheeled laptop overnight bag. In black.,309.99,0,247.99,247.99,n/a,n/a,Yes,07/01/2013,589792,0.2000064518,31,B00061W89E,McKleinUSA LASALLE 83405 Black 17-Inch Wheeled Laptop Overnight,"Front zipper pocket for small miscellaneous items Front organizer pocket with storage space for media devices, cell phone, business cards, key holder and pens Front compartment is padded to protect laptops up to 17 in size and a file pocket for documents Middle compartment duals as storage space for overnight clothing or electronic devices Back Compartment with 2 storage pockets for cables, umbrella, batteries and small miscellaneous items Dual Laptop Protection System uses a high-tech ABS honeycomb frame to protect from exterior impact and a 10 mm high-density foam that helps absorb shock and prevent moisture intake Smart Attachment Strap allows transport on extended handles of other rolling cases and luggage Bonus! Snap-secured detachable laptop shuttle/briefcase that protects laptops up to 15.4 in size Advanced, non-slip, shock absorbing neoprene Comfort Flex Shoulder Strap stretches for comfort, alleviating body strain",174.53,0,0,174.53,n/a,n/a,Yes,0,589792,"McKlein Leather 17"" Wheeled Computer Overnight - 83405",n/a,300,0,225,225,n/a,Save $75.00 (25%),Yes,0.25,78,73.46,22.99,135.46,9.99,1.4209018507,1.1021777778,1.7761416375,1.0333,1,04/22/2013,09/02/2013,35,3,1,247.99,247.99,,
489595,McKlein Morgan Leather Laptop Briefcase,You'll love this McKlein Morgan leather laptop briefcase.,249.99,0,0,249.99,n/a,n/a,Yes,08/12/2013,589815,0,37,B00061W8F8,"McKlein USA Morgan Leather 17"" Litigator Laptop Brief",n/a,130.99,0,130.99,130.99,& FREE Shipping.,You Save: $109.01 (45%),Yes,0,589815,McKlein Leather Litigator Computer Brief - 83344,n/a,134.99,0,0,134.99,n/a,n/a,Yes,0,57,119,115,119,115,1.9084662951,1.8519149567,1.9084662951,1.8519149567,1,08/12/2013,08/12/2013,19,4,1,249.99,249.99,0,0
489622,McKlein Pearson Expandable Briefcase,Professional poise. Look smart carrying this McKlein Pearson briefcase. In black.,307.99,0,246.39,246.39,n/a,n/a,Yes,04/22/2013,11470965,0.2000064937,21,B000GHGFXS,"McKlein USA Pearson Leather Expandable 15.4"" Laptop Briefcase",n/a,129.79,0,129.79,129.79,& FREE Shipping.,You Save: $75.21 (37%),Yes,0,11470965,"McKleinUSA Pearson Expandable Double Compartment Briefcase - Black (17"")",n/a,118.99,0,0,118.99,n/a,n/a,Yes,0,81,116.6,127.4,178.2,189,1.8983742969,2.0706782083,2.3729871331,2.5883687705,1,04/22/2013,09/02/2013,35,3,1,246.39,246.39,0,0
489567,McKlein Pearson Expandable Laptop Briefcase,Designed for the digital age. You'll love this McKlein Pearson expandable laptop case. In black.,262.99,0,236.69,236.69,n/a,n/a,Yes,04/29/2013,11721793,0.1000038024,22,,,,,,,,,,,,11721793,McKleinUSA Pearson Expandable Double Compartment Briefcase - Black,n/a,118.99,0,95.19,95.19,n/a,Save $23.80 (20%),Yes,0.2000168081,96,,141.5,,144,,2.4865006828,,2.2101857299,1,04/22/2013,09/02/2013,35,3,1,236.69,236.69,0,0
