"Quarter","Week","Location_NMR","Merch_Division_NMR","Merch_Division_TEXT","Item_Type_Code","Item_Type_Desc","Item_Type_Desc_Code","Stock_Status","CAD_Sales_Dollar","CAD_Sales_Dollar_Comp","Comp_Weekly_Sales_Units","Sales_Units","Cost","Inventory_On_Hand_Dollar","Inventory_On_Hand_Units","List_Price","Invoice_Count","Margin_Correction_Comp","Margin_Correction","Comp_Cost","Margin_Dollar","Margin_Dollar_Comp","Margin_Per","Avg_Selling_Price","Store","ID_unit","Prob","Stratum"
"1",2015-02-06,3008,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",13221.27,13221.27,40,40,11613.9,135233.84,406,19.99,43,233.73,233.73,11613.9,1841.1,1841.1,0.139252885691012,330.53175,"LOWE'S OF KANATA, ON                              ",34,0.726937269372694,8
"1",2015-02-06,3008,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",28140.87,28140.87,48,48,21442,331766.14,577,0,66,508.07,508.07,21442,7206.94,7206.94,0.256102245595108,586.268125,"LOWE'S OF KANATA, ON                              ",185,0.726937269372694,8
"1",2015-02-06,3096,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",4028.21,4028.21,6,6,3076.21,90146.25,110,0,8,74.78,74.78,3076.21,1026.78,1026.78,0.254897336534093,671.368333333333,"LOWE'S OF ETOBICOKE, ON                           ",10,0.727586206896552,9
"1",2015-02-06,3096,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",11362.26,11362.26,48,48,8392.58,150429.55,452,0,52,123.93,123.93,8392.58,3093.61,3093.61,0.272270657422027,236.71375,"LOWE'S OF ETOBICOKE, ON                           ",62,0.727586206896552,9
"1",2015-02-06,3096,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",26310.7,26310.7,47,47,20861.39,396493.74,689,0,66,407.67,407.67,20861.39,5856.98,5856.98,0.222608292443759,559.802127659574,"LOWE'S OF ETOBICOKE, ON                           ",79,0.727586206896552,9
"1",2015-02-06,3096,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",4153.3,4153.3,3,3,3757.39,104864.89,119,0,5,50.94,50.94,3757.39,446.85,446.85,0.107589145980305,1384.43333333333,"LOWE'S OF ETOBICOKE, ON                           ",94,0.727586206896552,9
"1",2015-02-06,3096,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,5657.1,14,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF ETOBICOKE, ON                           ",184,0.727586206896552,9
"1",2015-02-06,3010,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",6049.16,6049.16,3,3,4680.13,75589.55,84,0,5,109.21,109.21,4680.13,1478.24,1478.24,0.244371119295902,2016.38666666667,"LOWE'S OF S. WINDSOR, ON                          ",11,0.755555555555556,10
"1",2015-02-06,3010,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",338,338,1,1,293.18,6130.08,15,0,1,NA,NA,293.18,44.82,44.82,0.132603550295858,338,"LOWE'S OF S. WINDSOR, ON                          ",66,0.755555555555556,10
"1",2015-02-06,3010,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",5638.04,5638.04,24,24,3956.92,145410.41,418,0,26,84.84,84.84,3956.92,1765.96,1765.96,0.313222325489,234.918333333333,"LOWE'S OF S. WINDSOR, ON                          ",90,0.755555555555556,10
"1",2015-02-06,3010,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",12677.95,12677.95,29,29,9928,359064.97,616,0,34,266.36,266.36,9928,3016.31,3016.31,0.237917802168332,437.170689655172,"LOWE'S OF S. WINDSOR, ON                          ",126,0.755555555555556,10
"1",2015-02-06,2888,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,5277.26,13,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF WHITBY, ON                              ",132,0.622950819672131,11
"1",2015-02-06,2632,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",338,338,1,1,293.18,3002.55,9,0,1,NA,NA,293.18,44.82,44.82,0.132603550295858,338,"LOWE'S OF MAPLE, ON                               ",14,0.682481751824818,12
"1",2015-02-06,2632,37,"APPLIANCES",14,"IN AND OUT                              ",0,"NON-STOCK                               ",NA,NA,NA,NA,NA,1597.37,2,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF MAPLE, ON                               ",72,0.682481751824818,12
"1",2015-02-06,2632,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",20352.65,20352.65,21,21,15749.87,264157.9,303,0,31,164.62,164.62,15749.87,4767.4,4767.4,0.234239767303029,969.17380952381,"LOWE'S OF MAPLE, ON                               ",116,0.682481751824818,12
"1",2015-02-06,2632,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",1979.29,1979.29,37,37,1153.69,88683.35,341,0,40,203.03,203.03,1153.69,1028.63,1028.63,0.51969645681027,53.4943243243243,"LOWE'S OF MAPLE, ON                               ",121,0.682481751824818,12
"1",2015-02-06,2632,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",6720.24,6720.24,18,18,4719.61,80564.32,261,0,28,9.74,9.74,4719.61,2010.37,2010.37,0.299151518398152,373.346666666667,"LOWE'S OF MAPLE, ON                               ",134,0.682481751824818,12
"1",2015-02-06,2632,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",3338.26,3338.26,5,5,3487.13,113853.95,147,0,9,22.08,22.08,3487.13,-126.79,-126.79,-0.0379808642825903,667.652,"LOWE'S OF MAPLE, ON                               ",170,0.682481751824818,12
"1",2015-02-06,3066,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",5127.41,5127.41,1,1,3087.8,74295.87,101,0,3,58.72,58.72,3087.8,2098.33,2098.33,0.40923780232125,5127.41,"LOWE'S OF SARNIA, ON                              ",15,0.673684210526316,13
"1",2015-02-06,3066,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,5273.89,13,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF SARNIA, ON                              ",29,0.673684210526316,13
"1",2015-02-06,3066,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",6289.52,6289.52,5,5,4967.43,79927.4,94,0,8,101.44,101.44,4967.43,1423.53,1423.53,0.226333647082766,1257.904,"LOWE'S OF SARNIA, ON                              ",88,0.673684210526316,13
"1",2015-02-06,3066,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",8575.41,8575.41,12,12,5867.5,282850.4,504,0,22,20.39,20.39,5867.5,2728.3,2728.3,0.318153884187462,714.6175,"LOWE'S OF SARNIA, ON                              ",97,0.673684210526316,13
"1",2015-02-06,2494,37,"APPLIANCES",14,"IN AND OUT                              ",0,"NON-STOCK                               ",NA,NA,NA,NA,NA,490.56,1,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF N. SCARBOROUGH, ON                      ",16,0.728813559322034,14
"1",2015-02-06,2494,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",10147.69,10147.69,22,22,7632.04,160018.35,473,0,29,192.53,192.53,7632.04,2708.18,2708.18,0.266876500957361,461.258636363636,"LOWE'S OF N. SCARBOROUGH, ON                      ",35,0.728813559322034,14
"1",2015-02-06,2494,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,5277.26,13,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF N. SCARBOROUGH, ON                      ",68,0.728813559322034,14
"1",2015-02-06,2494,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",26809.02,26809.02,38,38,21169.06,345660.51,617,0,61,254.44,254.44,21169.06,5894.4,5894.4,0.2198662987308,705.500526315789,"LOWE'S OF N. SCARBOROUGH, ON                      ",81,0.728813559322034,14
"1",2015-02-06,3059,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",2923.8,2923.8,2,2,2427.74,78062.46,92,0,5,NA,NA,2427.74,496.06,496.06,0.169662767631165,1461.9,"LOWE'S OF CALGARY, AB - SUNRIDGE                  ",17,0.574750830564784,15
"1",2015-02-06,3059,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",3495.86,3495.86,16,16,2700.32,129920.28,444,140.47,20,47.53,47.53,2700.32,843.07,843.07,0.241162403528745,218.49125,"LOWE'S OF CALGARY, AB - SUNRIDGE                  ",53,0.574750830564784,15
"1",2015-02-06,3059,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",1737.4,1737.4,3,3,1261.3,88743.66,103,0,3,31,31,1261.3,507.1,507.1,0.291872913548981,579.133333333333,"LOWE'S OF CALGARY, AB - SUNRIDGE                  ",156,0.574750830564784,15
"1",2015-02-06,3158,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",21971.14,21971.14,39,39,16935.16,386504.95,645,565.97,58,261.61,261.61,16935.16,5297.59,5297.59,0.241115845604734,563.362564102564,"LOWE'S OF N.E. EDMONTON, AB                       ",19,0.811387900355872,16
"1",2015-02-06,3158,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",9054,9054,33,33,7459.86,132684.2,466,230.17,35,115.1,115.1,7459.86,1709.24,1709.24,0.188782858405125,274.363636363636,"LOWE'S OF N.E. EDMONTON, AB                       ",56,0.811387900355872,16
"1",2015-02-06,3158,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",2606.2,2606.2,3,3,2900.18,82776.67,90,0,5,NA,NA,2900.18,-293.98,-293.98,-0.11280024556826,868.733333333333,"LOWE'S OF N.E. EDMONTON, AB                       ",107,0.811387900355872,16
"1",2015-02-06,3158,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",454.75,454.75,1,1,488.95,77642.27,93,0,5,NA,NA,488.95,-34.2,-34.2,-0.0752061572292468,454.75,"LOWE'S OF N.E. EDMONTON, AB                       ",157,0.811387900355872,16
"1",2015-02-06,3158,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,6344.78,16,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF N.E. EDMONTON, AB                       ",183,0.811387900355872,16
"1",2015-02-06,3085,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",686,686,2,2,587.04,5079.47,12,0,4,NA,NA,587.04,98.96,98.96,0.144256559766764,343,"LOWE'S OF N. SUDBURY, ON                          ",21,0.766666666666667,17
"1",2015-02-06,3085,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",2145.3,2145.3,1,1,2019.96,63714.49,71,0,5,98.68,98.68,2019.96,224.02,224.02,0.104423623735608,2145.3,"LOWE'S OF N. SUDBURY, ON                          ",60,0.766666666666667,17
"1",2015-02-06,3085,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",1542.15,1542.15,2,2,1264.59,80033.19,81,0,2,NA,NA,1264.59,277.56,277.56,0.179982491975489,771.075,"LOWE'S OF N. SUDBURY, ON                          ",69,0.766666666666667,17
"1",2015-02-06,2741,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",4535.6,4535.6,6,6,3091.8,102131.8,96,0,9,NA,NA,3091.8,1443.8,1443.8,0.318326131052121,755.933333333333,"LOWE'S OF S. OSHAWA, ON                           ",22,0.666666666666667,18
"1",2015-02-06,2741,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",3316.4,3316.4,7,7,2232.47,73049.96,104,0,7,9.95,9.95,2232.47,1093.88,1093.88,0.329839585092269,473.771428571429,"LOWE'S OF S. OSHAWA, ON                           ",125,0.666666666666667,18
"1",2015-02-06,2741,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",4191.42,4191.42,24,24,4054.34,133964.68,410,0,30,70.94,70.94,4054.34,208.02,208.02,0.0496299583434731,174.6425,"LOWE'S OF S. OSHAWA, ON                           ",140,0.666666666666667,18
"1",2015-02-06,2741,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",21353.67,21353.67,38,38,15921.17,347526.05,591,0,42,130.81,130.81,15921.17,5563.31,5563.31,0.260531796173679,561.938684210526,"LOWE'S OF S. OSHAWA, ON                           ",153,0.666666666666667,18
"1",2015-02-06,2741,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,5267.89,13,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF S. OSHAWA, ON                           ",173,0.666666666666667,18
"1",2015-02-06,2922,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",8752.58,8752.58,26,26,5884.31,141117.03,399,0,30,13.95,13.95,5884.31,2882.22,2882.22,0.329299475126191,336.637692307692,"LOWE'S OF KINGSTON, ON                            ",24,0.737827715355805,19
"1",2015-02-06,2922,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",1397.85,1397.85,2,2,1188.33,82094.15,96,0,2,NA,NA,1188.33,209.52,209.52,0.149887326966413,698.925,"LOWE'S OF KINGSTON, ON                            ",142,0.737827715355805,19
"1",2015-02-06,2922,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",14944.03,14944.03,32,32,12143.85,339071.86,589,0,43,102.75,102.75,12143.85,2902.93,2902.93,0.194253491193473,467.0009375,"LOWE'S OF KINGSTON, ON                            ",178,0.737827715355805,19
"1",2015-02-06,2951,37,"APPLIANCES",4,"DISPLAY ITEM           - NON-INVENTORIED",0,"NON-STOCK                               ",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF N. ETOBICOKE, ON                        ",25,0.587692307692308,20
"1",2015-02-06,2951,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",3291.3,3291.3,2,2,2457.47,104475.38,107,0,2,49.8,49.8,2457.47,883.63,883.63,0.268474462978155,1645.65,"LOWE'S OF N. ETOBICOKE, ON                        ",141,0.587692307692308,20
"1",2015-02-06,2642,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",348,348,1,1,293.18,4594.39,11,0,1,NA,NA,293.18,54.82,54.82,0.157528735632184,348,"LOWE'S OF EAST GWILLIMBURY, ON                    ",27,0.712230215827338,21
"1",2015-02-06,2642,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",5070.18,5070.18,7,7,4433.61,100519.13,104,0,17,37.72,37.72,4433.61,674.290000000001,674.290000000001,0.132991333641015,724.311428571429,"LOWE'S OF EAST GWILLIMBURY, ON                    ",39,0.712230215827338,21
"1",2015-02-06,2642,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",13311.3,13311.3,9,9,9139.58,72375.52,98,0,9,115.2,115.2,9139.58,4286.92,4286.92,0.322051189590799,1479.03333333333,"LOWE'S OF EAST GWILLIMBURY, ON                    ",127,0.712230215827338,21
"1",2015-02-06,2642,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",8471.79,8471.79,49,49,6759.87,154350.64,509,0,61,211.56,211.56,6759.87,1923.48,1923.48,0.227045287949772,172.893673469388,"LOWE'S OF EAST GWILLIMBURY, ON                    ",160,0.712230215827338,21
"1",2015-02-06,3092,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",5307.41,5307.41,19,19,4164.69,126702.86,403,0,25,73.86,73.86,4164.69,1216.58,1216.58,0.229222916639189,279.337368421053,"LOWE'S OF NIAGARA FALLS, ON                       ",28,0.709090909090909,22
"1",2015-02-06,3092,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",-1798,-1798,-2,-2,-1747.64,44985.51,46,0,2,-5.84,-5.84,-1747.64,-56.1999999999999,-56.1999999999999,0.0312569521690767,899,"LOWE'S OF NIAGARA FALLS, ON                       ",64,0.709090909090909,22
"1",2015-02-06,3092,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,5362.71,13,0,NA,-1.52,-1.52,NA,-1.52,-1.52,NA,0,"LOWE'S OF NIAGARA FALLS, ON                       ",138,0.709090909090909,22
