"Product_ID","Staples_Final_Price","Amz_Final_Price","Google_Visits","Google_Revenue","Google_Order","Google_Unique_Visitors","Google_Aggr_Search_Vol","Google_Bounce_rate","Google_Cart_Views","Google_Shipping","Google_Visit_Freq","Google_OCPVisit","Google_OCPVisitor","SC_Visits","SC_Revenue","SC_Order","SC_Unique_Visitors","SC_Aggr_Search_Vol","SC_Bounce_rate","SC_Cart_Views","SC_Shipping","SC_Visit_Freq","SC_OCPVisit","SC_OCPVisitor","Direct_Visits","Direct_Revenue","Direct_Order","Direct_Unique_Visitors","Direct_Aggr_Search_Vol","Direct_Bounce_rate","Direct_Cart_Views","Direct_Shipping","Direct_Visit_Freq","Direct_OCPVisit","Direct_OCPVisitor","OA_Visits","OA_Revenue","OA_Orders","OA_Uniq_Visitor","OA_Aggr_Search_Vol","OA_Bounce_rate","OA_Cart_Views","OA_Shipping","OA_Visit_Freq","OA_OCPVisit","OA_OCPVisitor","Conversion","Conversion_Visitor","Price_Comp"
"508581",12.31,9.03,2208,9885.12,662,2096,0,7.33,186,0,137.17,5.76,6.02,3,0,0,3,0,0,4,0,3,0,0,5590,36328.24,2376,5259,0,29.79,5373,0,416.23,8.28,8.74,7801,46213.36,3038,7358,0,37.12,5563,0,556.4,7.56,7.98,0.39,0.41,1.36
"511947",8.78,5.44,3719,12359.02,441,3582,0,31.83,306,0,140.62,2.4,2.47,1,0,0,1,0,0,0,0,1,0,0,7706,37897.89,1661,7311,0,121.44,4856,0,417.44,4.25,4.45,11426,50256.91,2102,10894,0,153.27,5162,0,559.08,3.65,3.8,0.18,0.19,1.62
"512427",37.59,22.97,3875,38739.67,483,3744,0,30.17,254,0,137.37,2.36,2.45,0,0,0,0,0,0,0,0,0,0,0,8524,145376.25,1707,8117,0,137.93,4770,0,413.36,3.88,4.07,12399,184115.92,2190,11861,0,168.09,5024,0,550.72,3.4,3.56,0.18,0.18,1.64
"514510",30.18,22.38,11460,243726.7,5939,10669,0,48.76,2508,0,146.33,9.94,10.69,77,223.92,3,75,0,2,18,0,40.33,0.75,0.78,41308,1057256.11,24713,38301,0,106,52855,0,427.84,11.49,12.4,52845,1301206.73,30655,49045,0,156.74,55381,0,614.5,11.16,12.03,0.58,0.63,1.35
"517011",33.43,25.48,9219,35786.37,960,8889,0,203.59,3319,0,410.91,1.99,2.1,11,181.98,2,11,0,2,0,0,11,1.5,1.5,15410,40928.55,3005,14585,0,188.79,8631,0,419.72,3.7,3.91,24640,76896.9,3967,23485,0,394.39,11950,0,841.62,3.07,3.21,0.16,0.17,1.31
"517988",6.26,5.72,1256,3567.69,508,1177,0,24.5,447,0,301.18,6.61,7.04,2,0,0,2,0,0,0,0,2,0,0,3501,10706.42,1743,3306,0,6,1615,0,379.61,8.1,8.58,4759,14274.11,2251,4485,0,30.5,2062,0,682.8,7.7,8.18,0.47,0.5,1.09
"519668",59.97,51.7,1351,31110.37,356,1276,0,14.5,242,0,128.43,4.79,5.11,3,72.9,1,3,0,0,0,0,2,0.5,0.5,3233,104425.96,1247,3061,0,32,2841,0,414,7.41,7.84,4587,135609.23,1604,4340,0,46.5,3083,0,544.43,6.65,7.05,0.35,0.37,1.16
"538249",14.81,12.46,2183,12873.33,426,2110,0,89.46,1120,0,399.67,3.78,3.96,8,79.99,1,8,0,0,7,0,8,1,1,5661,16874.57,1902,5329,0,112.67,4644,0,417.96,6.51,6.93,7852,29827.89,2329,7447,0,202.11,5771,0,825.61,5.75,6.06,0.3,0.31,1.19
"559215",21.07,14.85,14059,85062.76,3250,13501,0,163.37,6866,0,412.97,4.52,4.67,30,44.97,3,29,0,1,7,0,27,0.79,0.83,31267,102712.94,11229,29720,0,196.08,22879,0,417.16,6.86,7.22,45356,187820.67,14482,43250,0,360.47,29752,0,857.16,6.11,6.4,0.32,0.33,1.42
"563125",68.39,54.14,3435,68782.57,821,3271,0,19.75,566,0,136.4,3.9,4.08,7,0,0,7,0,0,1,0,7,0,0,9383,271605.08,3112,8906,0,67.67,6150,0,415.03,5.6,5.88,12825,340387.65,3933,12184,0,87.42,6717,0,558.43,5.13,5.39,0.31,0.32,1.26
"576947",45.7,34.16,1774,40135.65,489,1662,0,3,194,0,130.17,5.99,6.35,1,0,0,1,0,0,0,0,1,0,0,4256,126928.86,1596,4026,0,33.75,4117,0,417.59,7.65,8.09,6031,167064.51,2085,5689,0,36.75,4311,0,548.76,7.17,7.58,0.35,0.37,1.34
"580823",22.66,26.14,4277,73413.36,2584,3978,0,65.38,5047,0,424.67,11.54,12.4,40,20.99,1,39,0,1,19,0,30.5,0.08,0.08,17876,114485.25,11288,16708,0,68.39,23066,0,424.52,12.26,13.14,22193,187919.6,13873,20725,0,134.78,28132,0,879.72,12.08,12.94,0.63,0.67,0.87
"585006",5.29,4.35,5500,12849.48,569,5295,0,33.19,322,0,140.79,2.03,2.08,1,0,0,1,0,0,0,0,1,0,0,8851,38040.65,1596,8430,0,144.74,5188,0,416.31,3.46,3.66,14352,50890.13,2165,13726,0,177.92,5510,0,558.1,2.92,3.08,0.15,0.16,1.22
"597444",37.99,30.24,4524,58076.73,691,4319,0,213.8,2484,0,413.78,2.92,3.04,32,144.57,2,32,0,5,35,0,31,1.25,1.25,8281,63948.72,2234,7783,0,164.72,7283,0,421.3,5.14,5.49,12837,122170.02,2927,12134,0,383.47,9802,0,866.1,4.33,4.59,0.23,0.24,1.26
