"prod_id","Unit_sales","L_unitsales","Review_all","search","SocialSignal_all","Backlinks_all","Std_Res","Std_Res_Dec","Cook_D"
"621095000",554,"1",47,55960,16,10,1.46281810148955,"NO",0.00709472253067099
"651693000",1993,"1",1110,326130,1059,64,1.26763661114444,"NO",0.226632785281382
"625041000",19,"0",9,10430,7,4,-0.599541495046438,"NO",0.000772107531551599
"604341000",217,"1",252,3270,143,62,1.36959001874514,"NO",0.0225866434361157
"669947000",4,"0",3,560,1,2,-0.587679741135951,"NO",0.000794920340018933
"621085000",4,"0",4,250,0,8,-0.598913200228561,"NO",0.000819814357713649
"629368000",9,"0",29,350,0,0,-0.590753795345797,"NO",0.000813609343993317
"621901000",137,"1",157,69400,43,13,1.37984441236513,"NO",0.00762701957043234
"656134000",2,"0",2,4370,10,0,-0.58415227378947,"NO",0.000807920722773969
"605361000",24,"0",12,820,1,7,-0.599198330252692,"NO",0.000804001222791333
"648076000",111,"1",4,3940,3,0,1.64852616796334,"NO",0.00630285745746406
"621998000",3302,"1",284,261650,247,70,0.99499340924715,"NO",0.0382462792274679
"688352000",152,"1",9,13480,9,5,1.60126132880268,"NO",0.0054352299448902
"653610000",23,"0",23,1300,2,6,-0.600179913754485,"NO",0.00079489161833962
"656138000",12,"0",3,7970,17,17,-0.616692170583436,"NO",0.000951203150352944
"648235000",806,"1",470,1880,272,9,1.62244803105145,"NO",0.0521532497693892
"661959000",331,"1",53,67230,62,40,1.35001513547564,"NO",0.00881208424837946
"624707000",58,"1",127,153840,169,39,1.23983080222942,"NO",0.015416275225573
"623010000",2260,"1",0,11140,0,0,1.6297332127444,"NO",0.00605135838439312
