Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
24522066 - LOUISVILLE SLUGGER Xeno Adult Fastpitch Softball Bat (-10) 2014,24522066,Baseball Bat,2,2,1,0,16
24522596 - LOUISVILLE SLUGGER 2014 225 Ash Youth Wood Baseball Bat,24522596,Baseball Bat,4,12,4,3,19
24522606 - LOUISVILLE SLUGGER I13 Hard Maple Adult Wood Baseball Bat 2014,24522606,Baseball Bat,0,0,1,0,2
24758626 - DEMARINI CF6 Senior League Baseball Bat (-10) 2014,24758626,Baseball Bat,9,3,0,1,1
29170336 - BAMBOOBAT Adult Bamboo Baseball Bat - 100-Day Warranty,29170336,Baseball Bat,5,2,1,0,6
29176626 - MARUCCI Elite Adult BBCOR Baseball Bat (-3) 2014,29176626,Baseball Bat,3,1,0,0,2
29437586 - MIZUNO Bamboo Elite Adult BBCOR Baseball Bat,29437586,Baseball Bat,0,0,1,0,2
29985356 - DEMARINI Voodoo Youth Tee Ball Bat (-12) 2014,29985356,Baseball Bat,3,0,0,0,5
31447456 - COMBAT Wanted Senior League Baseball Bat (-10) 2014,31447456,Baseball Bat,2,6,3,0,1
32846296 - LOUISVILLE SLUGGER MLB180 Ash Adult Wood Baseball Bat 2014,32846296,Baseball Bat,16,8,3,3,61
34447136 - DEMARINI CF7 Youth Fastpitch Softball Bat (-11) 2015,34447136,Baseball Bat,10,11,5,5,1
34447146 - DEMARINI Flipper Aftermath Adult Slowpitch Softball Bat 2014,34447146,Baseball Bat,17,10,5,11,21
34447166 - Demarini One Adult Slowpitch Softball Bat 2014,34447166,Baseball Bat,4,3,4,2,69
34447186 - DEMARINI One Senior SR1.21 Adult Slowpitch Baseball Bat 2014,34447186,Baseball Bat,0,0,1,0,4
34867776 - WORTH 2Legit Adult Fastpitch Softball Bat (-10) 2015,34867776,Baseball Bat,15,12,1,1,2
34901766 - EASTON Mako Torq Adult BBCOR Baseball Bat (-3) 2015,34901766,Baseball Bat,0,11,9,6,3
34901776 - EASTON Mako Adult BBCOR Baseball Bat (-3) 2015,34901776,Baseball Bat,0,1,0,0,19
34901806 - EASTON S2Z Adult BBCOR Baseball Bat (-3) 2015,34901806,Baseball Bat,0,0,1,1,1
34901826 - EASTON Mako Torq Big Barrel Baseball Bat (-8) 2015 - Presale,34901826,Baseball Bat,0,0,4,1,4
