UgamID,Category_Path,Retailer,Division,Category,Department,Class,Subclass,Product_URL,Brand,Product_Name,Unique_Pdt_Identifier_Mainpdt,Unique_Product_Identifier_Variant,Final_Price_after_Discount,Extraction_Date,Review_Link,Review_Header,Review_Creation_Date,Review_From,Review_By,Review_Helpful_Votes,Review_Total_Votes,Review_Rating_Score,Review_Rating_Scale,Review_Reviewers_Badges,Review_Text,Review_Count_Of_Comments,Review_Verified_Purchase,Reviewer_Age,Reviewer_Gender,Review_Count,Product_reviews
LGKR0171,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-565916/leatherbay-mini-backpack.jsp,n/a,n/a,565916,565916,0,12/2/2013 18:50,http://reviews.kohls.com/9025/565916/reviews.htm?format=embedded,Nice but cheap,3/25/2012,"Rochester, ny",Scyquin,1,1,2,5,n/a,"The leather bag was very lovely if not a little on the small side. Unfortunately, the bag is top heavy and constantly fell forward. Also, a week after I got it, one of the little draw strings pulled out. I say pulled out because it was not sewn in but rather hot glued. Disappointing... however Kohl's customer service was ready and more than willing to see things set straight. Another happy customer glad to shop at Kohl's :)",n/a,n/a,25-34,n/a,1,1
LGKR0213,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-565949/leatherbay-downtown-messenger-bag.jsp?pfx=pfx_shopcompare&cid=shopping7&mr:referralID=7e6b95a9-d28a-11e2-9dea-001b2166becc,Leatherbay,Leatherbay Downtown Messenger Bag,565949,565949,89.95,12/2/2013 18:50,http://reviews.kohls.com/9025/565949/reviews.htm?format=embedded,Bad Picture,3/11/2011,Lowell MA,Jes383,1,2,2,5,n/a,This bag was everything that I was looking for. However I thought the color was pink because that's what the picture looks like. When I recieved the bag it was a dark yellow. Totally not the color I wanted. Overall though it looked like a great bag.,n/a,n/a,25-34,n/a,1,1
LGKR0216,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-704498/sumdex-impulse-full-speed-rain-bumper-156-in-laptop-backpack.jsp?skuId=845524892678847&search=845524892678847&_requestid=3103262,Sumdex,Sumdex Impulse Full Speed Rain Bumper 15.6-in. Laptop Backpack,704498,704498,59.99,12/2/2013 18:50,http://reviews.kohls.com/9025/704498/reviews.htm?format=embedded,n/a,1/14/2013,n/a,giftaholic,0,0,5,5,n/a,n/a,n/a,n/a,45-54,n/a,1,1
LGKR0177,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-867055/wildkin-big-dots-macropak-backpack-kids.jsp,Wildkin,Wildkin Big Dots Macropak Backpack - Kids,867055,867055,39.99,12/2/2013 18:50,http://reviews.kohls.com/9025/867055/reviews.htm?format=embedded,Stylish way to sport a backpack,4/27/2012,n/a,aparla,0,0,4,5,n/a,"After moving out of the diaper bag phase, I was looking for something cute, but functional to use for theme parks and outings. This backpack is very cute, has lots of pockets and plenty of room for snacks, jackets, diapers and wipes, among other things. It cost a bit more than I would have liked to spend, but in the end I am happy to have something feminine, as well as useful.",n/a,n/a,25-34,n/a,1,1
LGKR0228,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-867198/wildkin-big-dots-kickstart-messenger-bag-kids.jsp?skuId=845524892792153&search=845524892792153&_requestid=3095544,Wildkin,Wildkin Big Dots Kickstart Messenger Bag - Kids,867198,867198,29.99,12/2/2013 18:51,http://reviews.kohls.com/9025/867198/reviews.htm?format=embedded,My daughter loves this bag and lunch box,8/30/2012,Walkertown,firefightergirl,1,1,5,5,n/a,"My daughter started first grade this year and she wanted a ""grown up"" bookbag and lunch box, this bag is made of great quailty and seems very durable. Its big enough to carry everything she needs in it yet its not busting at the seams. Im sure this book bag will last us all year long !",n/a,n/a,25-34,n/a,1,3
LGKR0228,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-867198/wildkin-big-dots-kickstart-messenger-bag-kids.jsp?skuId=845524892792153&search=845524892792153&_requestid=3095544,Wildkin,Wildkin Big Dots Kickstart Messenger Bag - Kids,867198,867198,29.99,12/2/2013 18:51,http://reviews.kohls.com/9025/867198/reviews.htm?format=embedded,Purple/Blue makes daughter HAPPY,11/16/2011,"Fayetteville, NC",Heathernrg,1,1,4,5,n/a,"My daughter was wanting a blue, but girly, bag for school. This bag turned out to be a great fit. She loves the large polka-dot print, the ""satchel"" ease of use, and the pockets/compartments inside. As a mom, I like that it has held up to her use and abuse for the past 2 months with little sign of wear and tear. The bag seems very durable.",n/a,n/a,35-44,n/a,1,3
LGKR0228,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-867198/wildkin-big-dots-kickstart-messenger-bag-kids.jsp?skuId=845524892792153&search=845524892792153&_requestid=3095544,Wildkin,Wildkin Big Dots Kickstart Messenger Bag - Kids,867198,867198,29.99,12/2/2013 18:51,http://reviews.kohls.com/9025/867198/reviews.htm?format=embedded,n/a,10/24/2013,n/a,78Jenn00,0,0,1,5,n/a,"This bag is junk! It didn't even make it 30 days before tearing....DON""T BUY IT POOR QUALITY!!",n/a,n/a,35-44,n/a,1,3
LGKR0012,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130229/wildkin-owl-macropack-backpack-kids.jsp?searchTerm=Wildkin%20Owls%20Macropak%20Backpack,Wildkin,Wildkin Owl Macropack Backpack - Kids,1130229,1130229,42.99,12/2/2013 18:44,http://reviews.kohls.com/9025/1130229/reviews.htm?format=embedded,Backpack has loads of storage,10/15/2013,Ayden,Grand3,0,0,5,5,n/a,I ordered this backpack for my granddaughter who loves owls and she loves this backpack. It is very roomy and has many compartments for all her school supplies. I would highly recommend this backpack,n/a,n/a,Over 65,n/a,1,1
LGKR0013,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130231/wildkin-leopard-macropack-backpack-kids.jsp?searchTerm=Wildkin%20Leopard%20Macropak%20Backpack,Wildkin,Wildkin Leopard Macropack Backpack - Kids,1130231,1130231,42.99,12/2/2013 18:44,http://reviews.kohls.com/9025/1130231/reviews.htm?format=embedded,"Reliable, Cute Backpack",2/26/2013,"Canton, GA",gisellaw,1,1,5,5,n/a,"My daughter loves this back pack. It's good quality and has a lot of space. Fits the matching lunch box nicely. The only downfall is that the straps won't adjust tight enough to fit my 7 year old correctly. The smaller option didn't seem to have as many pockets, so I went with this larger one. Hindsight, the smaller one probably would have fit better.",n/a,n/a,25-34,n/a,1,1
LGKR0017,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130262/wildkin-peace-sign-kickstart-messenger-bag-kids.jsp,Wildkin,Wildkin Peace Sign Kickstart Messenger Bag - Kids,1130262,1130262,36.99,12/2/2013 18:45,http://reviews.kohls.com/9025/1130262/reviews.htm?format=embedded,Good looking and very functional bag,3/2/2013,Mahwah,Schotze,0,0,5,5,n/a,My granddaughter absolutely loved this bag and uses it everyday for school! Holds all her books and papers without issues-sturdy and great colors!,n/a,n/a,55-65,n/a,1,1
