UgamID,Category_Path,Retailer,Division,Category,Department,Class,Subclass,Product_URL,Brand,Product_Name,Unique_Product_Identifier_Mainpdt,Unique_Product_Identifier_Variant,Final_Price_after_Discount,Extraction_Date,URL_of_the_Image,UGC,Notes,Alt_Tag
LGKI0055,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253615/t-tech-by-tumi-packable-duffel-bag.jsp,T-Tech by Tumi,T-Tech by Tumi Packable Duffel Bag,1253615,T1253615_Rust,44.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253615_Rust?&scl=3,n/a,n/a,n/a
LGKI0055,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253615/t-tech-by-tumi-packable-duffel-bag.jsp,T-Tech by Tumi,T-Tech by Tumi Packable Duffel Bag,1253615,T1253615_Charcoal,44.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253615_Charcoal?&scl=3,n/a,n/a,n/a
LGKI0053,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253611/t-tech-by-tumi-fiber-neck-pillow.jsp,T-Tech by Tumi,T-Tech by Tumi Fiber Neck Pillow,1253611,T1253611_Black,32.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253611_Black?&scl=3,n/a,n/a,n/a
LGKI0054,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253613/t-tech-by-tumi-packable-backpack.jsp,T-Tech by Tumi,T-Tech by Tumi Packable Backpack,1253613,T1253613_Rust,59.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253613_Rust?&scl=3,n/a,n/a,n/a
LGKI0059,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1286465/solo-classic-17-in-laptop-messenger-bag.jsp,Solo,Solo Classic 17-in. Laptop Messenger Bag,1286465,1286465,59.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1286465?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0058,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1286463/solo-classic-156-in-expandable-laptop-messenger-bag.jsp?searchTerm=Solo%20Classic%2015.6-in.%20Expandable%20Laptop%20Messenger%20Bag,Solo,Solo Classic 15.6-in. Expandable Laptop Messenger Bag,1286463,1286463,49.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1286463?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0056,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253619/t-tech-by-tumi-packable-gym-bag.jsp,T-Tech by Tumi,T-Tech by Tumi Packable Gym Bag,1253619,T1253619_Rust,54.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253619_Rust?&scl=3,n/a,n/a,n/a
LGKI0056,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1253619/t-tech-by-tumi-packable-gym-bag.jsp,T-Tech by Tumi,T-Tech by Tumi Packable Gym Bag,1253619,T1253619_Charcoal,54.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1253619_Charcoal?&scl=3,n/a,n/a,n/a
LGKI0067,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1305857/rockland-2-pc-luggage-set.jsp?searchTerm=675478102039,Rockland,"Rockland Luggage, 2-pc. Luggage Set",1305857,T1305857_Pink,79.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1305857_Pink?&scl=3,n/a,n/a,n/a
LGKI0067,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1305857/rockland-2-pc-luggage-set.jsp?searchTerm=675478102039,Rockland,"Rockland Luggage, 2-pc. Luggage Set",1305857,T1305857_Black,79.99,2013-12-02 19:34,http://media.kohls.com.edgesuite.net/is/image/kohls/1305857_Black?&scl=3,n/a,n/a,n/a
