Product ID,Week1,Week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,stdev_with_outliers,stdev_without_outliers,check
921368,0.73295,,0.53335,0.30555,N/A,N/A,N/A,N/A,0.3333,0.5,N/A,N/A,0.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3333,N/A,N/A,N/A,0.23,0.15,0
921323,N/A,N/A,1,1,N/A,N/A,N/A,N/A,0.3333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.66665,N/A,N/A,N/A,0.3333,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,0.5,N/A,0.31,0.31,1
921116,N/A,1,0.25,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.6,,N/A,0.22915,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0.5,N/A,N/A,,N/A,,N/A,N/A,0.34,0.34,1
921152,N/A,1,1,1,1,0.3333,N/A,,0.41665,0.4111,1,1,N/A,N/A,0.5,N/A,N/A,0.5,N/A,0.125,,N/A,N/A,N/A,0.3333,0.3333,N/A,N/A,N/A,,0.3333,N/A,0.2,0.34,0.34,1
921053,N/A,N/A,0.5,N/A,N/A,0.4,N/A,0.1429,0.75,N/A,0.83335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0.25,N/A,N/A,N/A,0.5,0.29,0.29,1
921332,N/A,0.1429,0.3333,0.5,0.66665,N/A,0.5,0.2,0.875,,N/A,N/A,N/A,N/A,,N/A,N/A,,0.3333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2857,N/A,N/A,0.5,0.5,0.26,0.21,0
921143,1,N/A,N/A,N/A,1,N/A,1,,N/A,,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,,N/A,N/A,N/A,,0.09,0.00,0
921062,N/A,N/A,N/A,1,1,,0.5,N/A,0.5,1,N/A,N/A,N/A,0.25,N/A,0.5,0.5625,N/A,N/A,0.5,0.5,N/A,N/A,0.2,0.25,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,0.29,0.29,1
921377,0.6667,,N/A,N/A,N/A,N/A,0.3333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,0.25,0.14,0
921134,N/A,0.25,,0.5,0.75,N/A,0.2857,0.3333,0.4,0.3125,,N/A,N/A,N/A,0.1429,0.5625,,0.5,N/A,N/A,N/A,N/A,0.5,N/A,N/A,,0.5,0.3333,N/A,N/A,0.5,N/A,N/A,0.27,0.15,0
921386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.58335,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,,0.2,0.38,0.38,1
921503,0.66665,0.4722,N/A,1,N/A,N/A,0.3333,0.7143,N/A,0.1429,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,0.33335,0.3125,0.31,0.31,1
921557,0.32145,0.30555,0.094,0.3889,0.5,N/A,0.230133333,N/A,0.265566667,0.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,N/A,N/A,,0.5,0.18,0.18,1
567213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4281125,0.4175125,0.43295,0.54322,0.338933333,0.26068,0.423014286,0.4710625,0.624188889,0.55134,0.47094,0.3896,0.353157143,0.5315125,0.205725,0.58618,0.6435,0.383071429,,N/A,N/A,N/A,N/A,0.12,0.12,1
921458,N/A,N/A,0.35,N/A,N/A,N/A,N/A,N/A,N/A,,0.25,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,0.31,0.12,0
921539,0.602157143,0.512242857,0.4440125,0.420157143,0.538885714,0.507583333,0.5179,0.3921,0.59253,0.482,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,0.60338,0.42834,0.3766,0.40885,0.38346,0.19,0.08,0
921404,N/A,N/A,N/A,N/A,N/A,,0.5,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.12,0.12,1
921314,1,N/A,1,N/A,N/A,,N/A,0.5,N/A,N/A,N/A,0.5,N/A,N/A,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,0.27,0.27,1
