Monthly,Product_ID,Staples_Final_Price,Amz_Final_Price,Google_Visits,Google_Revenue,Google_Order,Google_Unique_Visitors,Google_OCPVisit,Google_OCPVisitor,SC_Visits,SC_Revenue,SC_Order,SC_Unique_Visitors,SC_OCPVisit,SC_OCPVisitor,Direct_Visits,Direct_Revenue,Direct_Order,Direct_Unique_Visitors,Direct_OCPVisit,Direct_OCPVisitor,OA_Visits,OA_Revenue,OA_Orders,OA_Uniq_Visitor,OA_OCPVisit,OA_OCPVisitor,Monthly.1,Goog_Per_Visit,Dir_Per_Visit,Per_Visit_Diff,Loyalty,Conversion,Price_Comp,Loyalty_Cat,Conversion_Cat,Price_Comp_Cat
01-12-2014,679088,101.99,71.27,178,6819.05,57,172,0.32,0.33,0,0,0,0,0,0,477,211,211,451,0.44,0.47,655,7030.05,268,623,0.41,0.43,01-12-2014,0.28,0.72,0.44,0.72,0.43,1.43,LOW,HIGH,HIGH
01-01-2015,679088,101.99,72.82,187,6277.48,58,175,0.31,0.33,0,0,0,0,0,0,480,24915.1,224,463,0.47,0.48,667,31192.58,282,638,0.42,0.44,01-01-2015,0.27,0.73,0.46,0.73,0.44,1.4,LOW,HIGH,HIGH
01-02-2015,679088,101.99,73.11,196,7441.18,68,185,0.35,0.37,0,0,0,0,0,0,423,20348,182,410,0.43,0.44,619,27789.18,250,595,0.4,0.42,01-02-2015,0.31,0.69,0.38,0.69,0.42,1.4,LOW,HIGH,HIGH
01-03-2015,679088,101.99,85.94,193,6882.28,66,182,0.34,0.36,0,0,0,0,0,0,411,18785.52,170,394,0.41,0.43,604,25667.8,236,576,0.39,0.41,01-03-2015,0.32,0.68,0.36,0.68,0.41,1.19,LOW,HIGH,HIGH
01-04-2015,679088,101.99,84.49,171,5507.46,42,159,0.25,0.26,2,0,0,2,0,0,443,20663.16,184,418,0.42,0.44,616,26170.62,226,579,0.37,0.39,01-04-2015,0.28,0.72,0.44,0.72,0.39,1.21,LOW,LOW,HIGH
01-05-2015,679088,101.99,85.14,96,3365.67,30,94,0.31,0.32,1,0,0,1,0,0,306,14457.07,131,291,0.43,0.45,403,17822.74,161,386,0.4,0.42,01-05-2015,0.25,0.75,0.5,0.75,0.42,1.2,HIGH,HIGH,HIGH
01-06-2015,679088,101.99,80.03,136,5609.45,53,132,0.39,0.4,0,0,0,0,0,0,321,16318.4,141,310,0.44,0.45,457,21927.85,194,442,0.42,0.44,01-06-2015,0.3,0.7,0.4,0.7,0.44,1.27,LOW,HIGH,HIGH
01-07-2015,679088,101.99,77.5,25,1019.9,10,25,0.4,0.4,0,0,0,0,0,0,109,5099.5,47,107,0.43,0.44,134,6119.4,57,132,0.43,0.43,01-07-2015,0.19,0.81,0.62,0.81,0.43,1.32,HIGH,HIGH,HIGH
01-01-2014,683795,143.99,126.94,518,31994.45,213,478,0.41,0.45,2,0,0,2,0,0,2854,1434,1434,2630,0.5,0.55,3374,33428.45,1647,3110,0.49,0.53,01-01-2014,0.15,0.85,0.7,0.85,0.53,1.13,HIGH,HIGH,HIGH
01-02-2014,683795,143.99,135.59,1000,31843.27,208,963,0.21,0.22,10,100.79,1,10,0.1,0.1,2831,1144,1144,2691,0.4,0.43,3841,33088.06,1353,3664,0.35,0.37,01-02-2014,0.27,0.73,0.46,0.73,0.37,1.06,LOW,LOW,HIGH
01-03-2014,683795,143.65,121.91,802,39417.08,266,757,0.33,0.35,6,129.59,1,5,0.17,0.2,2668,1227,1227,2495,0.46,0.49,3476,40773.67,1494,3257,0.43,0.46,01-03-2014,0.23,0.77,0.54,0.77,0.46,1.18,HIGH,HIGH,HIGH
01-04-2014,683795,136.79,118.08,652,37487.57,252,606,0.39,0.42,4,0,0,4,0,0,2652,1256,1256,2450,0.47,0.51,3308,38743.57,1508,3060,0.46,0.49,01-04-2014,0.2,0.8,0.6,0.8,0.49,1.16,HIGH,HIGH,HIGH
01-05-2014,683795,141.7,130.45,617,37077.24,245,583,0.4,0.42,0,0,0,0,0,0,2275,1166,1166,2118,0.51,0.55,2892,38243.24,1411,2701,0.49,0.52,01-05-2014,0.22,0.78,0.56,0.78,0.52,1.09,HIGH,HIGH,HIGH
01-06-2014,683795,143.99,121.22,555,37559.72,240,519,0.43,0.46,1,143.99,1,1,1,1,2092,1070,1070,1954,0.51,0.55,2648,38773.71,1311,2474,0.5,0.53,01-06-2014,0.21,0.79,0.58,0.79,0.53,1.19,HIGH,HIGH,HIGH
01-07-2014,683795,143.99,118.86,519,33765.62,210,498,0.4,0.42,3,0,0,3,0,0,2354,1283,1283,2222,0.55,0.58,2876,35048.62,1493,2723,0.52,0.55,01-07-2014,0.18,0.82,0.64,0.82,0.55,1.21,HIGH,HIGH,HIGH
01-08-2014,683795,143.99,131.28,588,37530.94,240,555,0.41,0.43,1,0,0,1,0,0,1893,999,999,1782,0.53,0.56,2482,38529.94,1239,2338,0.5,0.53,01-08-2014,0.24,0.76,0.52,0.76,0.53,1.1,HIGH,HIGH,HIGH
01-09-2014,683795,143.99,128.22,707,41951.45,272,665,0.38,0.41,0,0,0,0,0,0,2300,1168,1168,2153,0.51,0.54,3007,43119.45,1440,2818,0.48,0.51,01-09-2014,0.24,0.76,0.52,0.76,0.51,1.12,HIGH,HIGH,HIGH
01-10-2014,683795,143.99,125.97,614,38351.71,245,591,0.4,0.41,0,0,0,0,0,0,1987,1028,1028,1870,0.52,0.55,2601,39379.71,1273,2461,0.49,0.52,01-10-2014,0.24,0.76,0.52,0.76,0.52,1.14,HIGH,HIGH,HIGH
01-11-2014,683795,143.99,138.07,574,39957.21,221,556,0.39,0.4,3,143.99,1,3,0.33,0.33,1576,821,821,1500,0.52,0.55,2153,40922.2,1043,2059,0.48,0.51,01-11-2014,0.27,0.73,0.46,0.73,0.51,1.04,LOW,HIGH,HIGH
01-12-2014,683795,143.99,132.36,556,34799.48,216,527,0.39,0.41,1,143.99,1,1,1,1,1848,973,973,1759,0.53,0.55,2405,35916.47,1190,2287,0.49,0.52,01-12-2014,0.23,0.77,0.54,0.77,0.52,1.09,HIGH,HIGH,HIGH
01-01-2015,683795,143.99,135.5,627,38790.9,246,596,0.39,0.41,0,0,0,0,0,0,2163,170363.12,1083,2036,0.5,0.53,2790,209154.02,1329,2632,0.48,0.5,01-01-2015,0.23,0.77,0.54,0.77,0.5,1.06,HIGH,HIGH,HIGH
01-02-2015,683795,143.99,125.47,524,34315.69,216,501,0.41,0.43,0,0,0,0,0,0,1562,131745.01,837,1452,0.54,0.58,2086,166060.7,1053,1953,0.5,0.54,01-02-2015,0.26,0.74,0.48,0.74,0.54,1.15,LOW,HIGH,HIGH
01-03-2015,683795,143.99,131.88,573,37093.25,235,544,0.41,0.43,0,0,0,0,0,0,1802,147221.04,921,1692,0.51,0.54,2375,184314.29,1156,2236,0.49,0.52,01-03-2015,0.24,0.76,0.52,0.76,0.52,1.09,HIGH,HIGH,HIGH
01-04-2015,683795,143.99,131.88,544,34249.43,208,512,0.38,0.41,0,0,0,0,0,0,1919,147684.7,923,1795,0.48,0.51,2463,181934.13,1131,2307,0.46,0.49,01-04-2015,0.22,0.78,0.56,0.78,0.49,1.09,HIGH,HIGH,HIGH
01-05-2015,683795,143.99,132.9,382,24780.67,158,361,0.41,0.44,0,0,0,0,0,0,1508,131765.19,815,1439,0.54,0.57,1890,156545.86,973,1800,0.51,0.54,01-05-2015,0.2,0.8,0.6,0.8,0.54,1.08,HIGH,HIGH,HIGH
01-06-2015,683795,143.99,133.44,448,31245.83,205,430,0.46,0.48,0,0,0,0,0,0,1691,139958.28,878,1587,0.52,0.55,2139,171204.11,1083,2017,0.51,0.54,01-06-2015,0.21,0.79,0.58,0.79,0.54,1.08,HIGH,HIGH,HIGH
01-07-2015,683795,143.99,129.49,139,8351.42,55,134,0.4,0.41,0,0,0,0,0,0,541,38589.32,242,515,0.45,0.47,680,46940.74,297,649,0.44,0.46,01-07-2015,0.21,0.79,0.58,0.79,0.46,1.11,HIGH,HIGH,HIGH
01-01-2014,701218,71.29,52.29,1712,5483.22,64,1540,0.04,0.04,25,65.99,1,22,0.04,0.05,4007,33534.59,388,3511,0.1,0.11,5744,39083.8,453,5073,0.08,0.09,01-01-2014,0.31,0.69,0.38,0.69,0.09,1.36,LOW,MID,HIGH
