Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price
3581,149,43.16,29,105.84,149,149,149,0.29,0.29,0.29,105.84,105.84,105.84,0,0,0,126.89,126.89,126.89,0,0,0,126.89,126.89,126.89,0,0,0
5987,209,22.87,11,186.13,209,209,209,0.11,0.11,0.11,186.13,186.13,186.13,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
9933,279,89.26,32,189.74,279,279,279,0.32,0.32,0.32,189.74,189.74,189.74,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
15873,149,4,3,145,149,149,149,0.03,0.03,0.03,145,145,145,0,0,0,162.95,162.95,162.95,0,0,0,162.95,162.95,162.95,0,0,0
12470,149,31.77,21,117.23,149,149,149,0.21,0.21,0.21,117.23,117.23,117.23,0,0,0,131.56,131.56,131.56,0,0,0,131.56,131.56,131.56,0,0,0
20741,209,9.01,4,199.99,209,209,209,0.04,0.04,0.04,199.99,199.99,199.99,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
12128,209,9.01,4,199.99,209,209,209,0.04,0.04,0.04,199.99,199.99,199.99,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
11923,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0
23290,149,4,3,145,149,149,149,0.03,0.03,0.03,145,145,145,0,0,0,162.95,162.95,162.95,0,0,0,162.95,162.95,162.95,0,0,0
13370,209,9.09,4,199.91,209,209,209,0.04,0.04,0.04,199.91,199.91,199.91,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
18529,149,4,3,145,149,149,149,0.03,0.03,0.03,145,145,145,0,0,0,149,149,149,0,0,0,149,149,149,0,0,0
14102,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,151.99,151.99,151.99,0,0,0,151.99,151.99,151.99,0,0,0
6821,259,60,23,199,259,259,259,0.23,0.23,0.23,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
17481,249,50,20,199,249,249,249,0.2,0.2,0.2,199,199,199,0,0,0,249.45,249.45,249.45,0,0,0,249.45,249.45,249.45,0,0,0
11102,249,28.49,11,220.51,249,249,249,0.11,0.11,0.11,220.51,220.51,220.51,4.99,4.99,4.99,249,249,249,0.180923695,0.180923695,0.180923695,203.95,203.95,203.95,0,0,0
19943,399,0,0,399,399,399,399,0,0,0,399,399,399,4.99,4.99,4.99,399,399,399,0,0,0,399,399,399,0,0,0
8740,389,57.51,15,331.49,389,389,389,0.15,0.15,0.15,331.49,331.49,331.49,0,0,0,379,379,379,0,0,0,379,379,379,0,0,0
36609,165,13.01,8,151.99,165,165,165,0.08,0.08,0.08,151.99,151.99,151.99,0,0,0,151.99,151.99,151.99,0,0,0,151.99,151.99,151.99,0,0,0
52063,199,1.02,1,197.98,199,199,199,0.01,0.01,0.01,197.98,197.98,197.98,4.99,4.99,4.99,230.84,230.84,230.84,0,0,0,230.84,230.84,230.84,26.49,26.49,26.49
4538,259,40,15,219,259,259,259,0.15,0.15,0.15,219,219,219,0,0,0,259.7,259.7,259.7,0,0,0,259.7,259.7,259.7,0,0,0
11807,399,59.01,15,339.99,399,399,399,0.15,0.15,0.15,339.99,339.99,339.99,0,0,0,399,399,399,0,0,0,399,399,399,0,0,0
2804,209,19.3,9,189.7,209,209,209,0.09,0.09,0.09,189.7,189.7,189.7,0,0,0,199.95,199.95,199.95,0,0,0,199.95,199.95,199.95,0,0,0
8789,279,0,0,279,279,279,279,0,0,0,279,279,279,4.99,4.99,4.99,278.95,278.95,278.95,0,0,0,278.95,278.95,278.95,0,0,0
10220,279,9.01,3,269.99,279,279,279,0.03,0.03,0.03,269.99,269.99,269.99,0,0,0,297.9,297.9,297.9,0,0,0,297.9,297.9,297.9,0,0,0
7337,295,50.32,17,244.68,295,295,295,0.17,0.17,0.17,244.68,244.68,244.68,0,0,0,255.99,255.99,255.99,0,0,0,255.99,255.99,255.99,38.99,38.99,38.99
4247,249.99,36.67,15,213.32,249.99,249.99,249.99,0.15,0.15,0.15,213.32,213.32,213.32,0,0,0,249.99,249.99,249.99,0,0,0,249.99,249.99,249.99,37.99,37.99,37.99
19653,149,4,3,145,149,149,149,0.03,0.03,0.03,145,145,145,0,0,0,162.95,162.95,162.95,0,0,0,162.95,162.95,162.95,0,0,0
16257,249,19.86,8,229.14,249,249,249,0.08,0.08,0.08,229.14,229.14,229.14,0,0,0,227.25,227.25,227.25,0,0,0,227.25,227.25,227.25,0,0,0
6606,199,39.03,20,159.97,199,199,199,0.2,0.2,0.2,159.97,159.97,159.97,0,0,0,182.1,182.1,182.1,0,0,0,182.1,182.1,182.1,0,0,0
3814,199,39.01,20,159.99,199,199,199,0.2,0.2,0.2,159.99,159.99,159.99,0,0,0,220.23,220.23,220.23,0,0,0,220.23,220.23,220.23,0,0,0
6965,199,26.33,13,172.67,199,199,199,0.13,0.13,0.13,172.67,172.67,172.67,0,0,0,285.99,285.99,285.99,0,0,0,285.99,285.99,285.99,0,0,0
7510,229,42.85,19,186.15,229,229,229,0.19,0.19,0.19,186.15,186.15,186.15,0,0,0,229,229,229,0,0,0,229,229,229,0,0,0
27310,229,44.74,20,184.26,229,229,229,0.2,0.2,0.2,184.26,184.26,184.26,0,0,0,198.99,198.99,198.99,0,0,0,198.99,198.99,198.99,0,0,0
48189,229,33,14,196,229,229,229,0.14,0.14,0.14,196,196,196,0,0,0,195.3,195.3,195.3,0,0,0,195.3,195.3,195.3,0,0,0
2240,219.99,30.07,14,189.92,219.99,219.99,219.99,0.14,0.14,0.14,189.92,189.92,189.92,0,0,0,194.52,194.52,194.52,0,0,0,194.52,194.52,194.52,0,0,0
11257,219.99,29.99,14,190,219.99,219.99,219.99,0.14,0.14,0.14,190,190,190,0,0,0,194.52,194.52,194.52,0,0,0,194.52,194.52,194.52,0,0,0
4367,219.99,40.68,18,179.31,219.99,219.99,219.99,0.18,0.18,0.18,179.31,179.31,179.31,0,0,0,194.52,194.52,194.52,0,0,0,194.52,194.52,194.52,0,0,0
7323,219.99,37.84,17,182.15,219.99,219.99,219.99,0.17,0.17,0.17,182.15,182.15,182.15,0,0,0,194.52,194.52,194.52,0,0,0,194.52,194.52,194.52,0,0,0
5557,219.99,38,17,181.99,219.99,219.99,219.99,0.17,0.17,0.17,181.99,181.99,181.99,0,0,0,194.52,194.52,194.52,0,0,0,194.52,194.52,194.52,0,0,0
11554,389,57.51,15,331.49,389,389,389,0.15,0.15,0.15,331.49,331.49,331.49,0,0,0,379,379,379,0,0,0,379,379,379,0,0,0
10177,119.99,6.95,6,113.04,119.99,119.99,119.99,0.06,0.06,0.06,113.04,113.04,113.04,0,0,0,145.64,145.64,145.64,0,0,0,145.64,145.64,145.64,21.99,21.99,21.99
