Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price,Reviews_Count,Total_Average_Ratings,Number_of_images,Not_User_Generated_images,User_Generated_images,Avg_helpful_votes,Actual_avg_score,Avg_sentiment_score,Total_sentiment_score,Avg_Positive_sentiment_score,Total_Positive_sentiment_score,Avg_negative_sentiment_score,Total_negative_sentiment_score,Avg_Weighted_score,Total_weighted_score,Total_sub,pdt_desc_length,Saving_Dollar
7181,219.99,50,23,169.99,219.99,219.99,219.99,0.23,0.23,0.23,169.99,169.99,169.99,0,0,0,199.99,199.99,199.99,0,0,0,199.99,199.99,199.99,0,0,0,18,4.5,3,3,0,2.333333333,0.893617021,4.055555556,73,4.222222222,76,-0.166666667,-3,3.624113475,65.23404255,0,939,0
7978,249.99,5.11,2,244.88,249.99,249.99,249.99,0.02,0.02,0.02,244.88,244.88,244.88,0,0,0,293.75,293.75,293.75,0,0,0,293.75,293.75,293.75,39.99,39.99,39.99,68,4.2,22,4,18,1.779411765,0.761006289,2.176470588,148,2.676470588,182,-0.5,-34,1.656307806,112.6289308,32,2134,0
24881,129.99,11,8,118.99,129.99,129.99,129.99,0.08,0.08,0.08,118.99,118.99,118.99,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0,60,4,15,15,0,2.083333333,0.82781457,2.833333333,170,3.166666667,190,-0.333333333,-20,2.345474614,140.7284768,0,1090,0
13099,129.99,11,8,118.99,129.99,129.99,129.99,0.08,0.08,0.08,118.99,118.99,118.99,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0,60,4,15,15,0,2.083333333,0.82781457,2.833333333,170,3.166666667,190,-0.333333333,-20,2.345474614,140.7284768,0,1091,0
9095,129.99,11.01,8,118.98,129.99,129.99,129.99,0.08,0.08,0.08,118.98,118.98,118.98,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0,60,4,15,15,0,2.083333333,0.82781457,2.833333333,170,3.166666667,190,-0.333333333,-20,2.345474614,140.7284768,0,1089,0
8562,199,29.01,15,169.99,199,199,199,0.15,0.15,0.15,169.99,169.99,169.99,0,0,0,178.99,178.99,178.99,0,0,0,178.99,178.99,178.99,0,0,0,9,4.6,12,10,2,0.888888889,0.533333333,2.555555556,23,2.777777778,25,-0.222222222,-2,1.362962963,12.26666667,32,695,0
36431,199,20,10,179,199,199,199,0.1,0.1,0.1,179,179,179,0,0,0,178.99,178.99,178.99,0,0,0,178.99,178.99,178.99,0,0,0,9,4.6,12,10,2,0.888888889,0.533333333,2.555555556,23,2.777777778,25,-0.222222222,-2,1.362962963,12.26666667,32,698,0
8042,199,55.35,28,143.65,199,199,199,0.28,0.28,0.28,143.65,143.65,143.65,0,0,0,143.65,143.65,143.65,0,0,0,143.65,143.65,143.65,0,0,0,8,4.1,3,3,0,2.125,0.80952381,2.125,17,2.5,20,-0.375,-3,1.720238095,13.76190476,9,688,0
12991,279,41.01,15,237.99,279,279,279,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,269,269,269,0,0,0,269,269,269,0,0,0,8,4.8,18,18,0,2.625,0.913043478,3.5,28,3.5,28,0,0,3.195652174,25.56521739,32,885,0
5732,279,41.01,15,237.99,279,279,279,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,269,269,269,0,0,0,269,269,269,0,0,0,8,4.8,18,18,0,2.625,0.913043478,3.5,28,3.5,28,0,0,3.195652174,25.56521739,32,884,0
10925,279,41.01,15,237.99,279,279,279,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,269,269,269,0,0,0,269,269,269,0,0,0,8,4.8,18,18,0,2.625,0.913043478,3.5,28,3.5,28,0,0,3.195652174,25.56521739,32,887,0
36133,239.99,15.71,7,224.28,239.99,239.99,239.99,0.07,0.07,0.07,224.28,224.28,224.28,0,0,0,219.9,219.9,219.9,0,0,0,219.9,219.9,219.9,0,0,0,2,5,2,2,0,0,0,2.5,5,2.5,5,0,0,0,0,7,3027,0
55707,279.99,50.41,18,229.58,279.99,279.99,279.99,0.18,0.18,0.18,229.58,229.58,229.58,4.99,4.99,4.99,279.99,279.99,279.99,0.28604593,0.28604593,0.28604593,199.9,199.9,199.9,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7,2080,80
31654,249.99,16,6,233.99,249.99,249.99,249.99,0.06,0.06,0.06,233.99,233.99,233.99,4.99,4.99,4.99,249.99,249.99,249.99,0.200368015,0.200368015,0.200368015,199.9,199.9,199.9,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7,2108,50
51023,279.99,25.11,9,254.88,279.99,279.99,279.99,0.09,0.09,0.09,254.88,254.88,254.88,0,0,0,249.9,249.9,249.9,0,0,0,249.9,249.9,249.9,0,0,0,1,5,2,2,0,0,0,3,3,3,3,0,0,0,0,7,2689,0
19447,379.99,23.11,6,356.88,379.99,379.99,379.99,0.06,0.06,0.06,356.88,356.88,356.88,0,0,0,349.9,349.9,349.9,0,0,0,349.9,349.9,349.9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,3246,0
30000,239.99,53,22,186.99,239.99,239.99,239.99,0.22,0.22,0.22,186.99,186.99,186.99,0,0,0,200.98,200.98,200.98,0,0,0,200.98,200.98,200.98,0,0,0,7,4.6,2,2,0,2,0.333333333,4.285714286,30,4.285714286,30,0,0,1.428571429,10,10,2684,0
21315,239.99,53,22,186.99,239.99,239.99,239.99,0.22,0.22,0.22,186.99,186.99,186.99,0,0,0,200.98,200.98,200.98,0,0,0,200.98,200.98,200.98,0,0,0,7,4.6,2,2,0,2,0.333333333,4.285714286,30,4.285714286,30,0,0,1.428571429,10,10,2553,0
